Port,,AF00,AF01,AF02,AF03,AF04,AF05,AF06,AF07,AF08,AF09,AF10,AF11,AF12,AF13,AF14,AF15,
PortC,PC0,-,-,-,-,-,-,-,-,-,-,OTG_HS_ULPI_STP,-,-,-,-,EVENT OUT,ADC123_IN10
PortC,PC1,-,-,-,-,-,-,-,-,-,-,-,ETH_MDC,-,-,-,EVENT OUT,ADC123_IN11
PortC,PC2,-,-,-,-,-,SPI2_MISO,-,-,-,-,OTG_HS_ULPI_DIR,ETH _MII_TXD2,-,-,-,EVENT OUT,ADC123_IN12
PortC,PC3,-,-,-,-,-,SPI2_MOSI,-,-,-,-,OTG_HS_ULPI_NXT,ETH_MII_TX_CLK,-,-,-,EVENT OUT,ADC123_IN13
PortC,PC4,-,-,-,-,-,-,-,-,-,-,-,ETH_MII_RXD0/ETH_RMII_RXD0,-,-,-,EVENT OUT,ADC12_IN14
PortC,PC5,-,-,-,-,-,-,-,-,-,-,-,ETH_MII_RXD1/ETH_RMII_RXD1,-,-,-,EVENT OUT,ADC12_IN15
PortC,PC6,-,-,TIM3_CH1,TIM8_CH1,-,I2S2_MCK,-,-,USART6_TX,-,-,-,SDIO_D6,DCMI_D0,-,EVENT OUT,
PortC,PC7,-,-,TIM3_CH2,TIM8_CH2,-,-,I2S3_MCK,-,USART6_RX,-,-,-,SDIO_D7,DCMI_D1,-,EVENT OUT,
PortC,PC8,-,-,TIM3_CH3,TIM8_CH3,-,-,-,-,USART6_CK,-,-,-,SDIO_D0,DCMI_D2,-,EVENT OUT,
PortC,PC9,MCO_2,-,TIM3_CH4,TIM8_CH4,I2C3_SDA,I2S_CKIN,I2S3_CKIN,-,-,-,-,-,SDIO_D1,DCMI_D3,-,EVENT OUT,
PortC,PC10,-,-,-,-,-,-,SPI3_SCK/I2S3_SCK,USART3_TX,UART4_TX,-,-,-,SDIO_D2,DCMI_D8,-,EVENT OUT,
PortC,PC11,-,-,-,-,-,-,SPI3_MISO,USART3_RX,UART4_RX,-,-,-,SDIO_D3,DCMI_D4,-,EVENT OUT,
PortC,PC12,-,-,-,-,-,-,SPI3_MOSI/I2S3_SD,USART3_CK,UART5_TX,-,-,-,SDIO_CK,DCMI_D9,-,EVENT OUT,
PortC,PC13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT,
PortC,PC14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PortC,PC15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EVENT OUT
PortD,PD2,-,-,TIM3_ETR,-,-,-,-,-,UART5_RX,-,-,-,SDIO_CMD,DCMI_D11,-,EVENT OUT
