Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,,,
PortA,PA0,WKUP,TIM2_CH1_ETR/TIM2_CH1_ETR_2,TIM5_CH1,TIM8_ETR/TIM8_ETR_1,,,,USART2_CTS,,,,ETH_MII_CRS_WKUP/ETH_RGMII_RXD2,,,,EVENTOUT,ADC1_IN0,OPA4_OUT0,
PortA,PA1,,TIM2_CH2/TIM2_CH2_2,TIM5_CH2,TIM9_BKIN_1,,,,USART2_RTS,,,,ETH_MII_RX_CLK/ETH_RMII_REF_CLK/ETH_RGMII_RXD3,,,,EVENTOUT,ADC1_IN1,OPA3_OUT0,
PortA,PA2,,TIM2_CH3/TIM2_CH3_1,TIM5_CH3,TIM9_CH1_ETR/TIM9_CH1_ETR_1,,,,USART2_TX,,,,ETH_MII_MDIO/ETH_RMII_MDIO/ETH_RGMII_GTXC,,,,EVENTOUT,ADC1_IN2,OPA2_OUT0,
PortA,PA3,,TIM2_CH4/TIM2_CH4_1,TIM5_CH4,TIM9_CH2/TIM9_CH2_1,,,,USART2_RX,,,,ETH_MII_COL/ETH_RGMII_TXEN,,,,EVENTOUT,ADC1_IN3,OPA1_OUT0,
PortA,PA4,,,,TIM9_CH3/TIM9_CH3_1,,SPI1_NSS,SPI3_NSS/I2S3_WS,USART2_CK,,,,,,,,EVENTOUT,ADC1_IN4,,DAC1_OUT1
PortA,PA5,,,,TIM10_CH1N_1,,SPI1_SCK,,USART1_CTS_2/USART1_CK_3,,,,,,DVP_VSYNC,,EVENTOUT,ADC1_IN5,OPA2_CH1N,DAC1_OUT2
PortA,PA6,,TIM1_BKIN_1,TIM3_CH1,TIM8_BKIN/TIM10_CH2N_1,,SPI1_MISO,,USART1_TX_3,UART7_TX_1,,,,,,,EVENTOUT,ADC1_IN6,OPA1_CH1N,
PortA,PA7,,TIM1_CH1N_1,TIM3_CH2,TIM8_CH1N/TIM10_CH3N_1,,SPI1_MOSI,,USART1_RX_3,UART7_RX_1,,,ETH_RMII_CRS_DV/ETH_RGMII_TXD0,,,,EVENTOUT,ADC1_IN7,OPA2_CH1P,
PortC,PC4,,,,TIM9_CH4,,,,USART1_CTS_3,UART8_TX,,,ETH_MII_RXD0/ETH_RMII_RXD0/ETH_RGMII_TXD1,,,,EVENTOUT,ADC1_IN14,OPA4_CH1P,
PortC,PC5,,,,TIM9_BKIN,,,,USART1_RTS_3,UART8_RX,,,ETH_MII_RXD1/ETH_RMII_RXD1/ETH_RGMII_TXD2,,,,EVENTOUT,ADC1_IN15,OPA3_CH1P,
PortB,PB0,,TIM1_CH2N_1,TIM3_CH3/TIM3_CH3_2,TIM8_CH2N/TIM9_CH1N_1,,,,,UART4_TX_1,,,ETH_MII_RXD2/ETH_RGMII_TXD3,,,,EVENTOUT,ADC1_IN8,OPA1_CH1P,
PortB,PB1,,TIM1_CH3N_1,TIM3_CH4/TIM3_CH4_2,TIM8_CH3N/TIM9_CH2N_1,,,,,UART4_RX_1,,,ETH_MII_RXD3/ETH_RGMII_125IN,,,,EVENTOUT,ADC1_IN9,OPA4_CH0N,
PortB,PB2,BOOT1,,,TIM9_CH3N_1,,,,,,,,,,,,EVENTOUT,,OPA3_CH0N,
PortE,PE7,,TIM1_ETR_3,,,,,,,UART5_TX_2,,,,FSMC_D4,,,EVENTOUT,,OPA3_OUT1,
PortE,PE8,,TIM1_CH1N_3,,,,,,,UART5_RX_2,,,,FSMC_D5,,,EVENTOUT,,OPA4_OUT1,
PortE,PE9,,TIM1_CH1_3,,,,,,,UART6_TX_2,,,,FSMC_D6,,,EVENTOUT,,,
PortE,PE10,,TIM1_CH2N_3,,,,,,,UART6_RX_2,,,,FSMC_D7,,,EVENTOUT,,,
PortE,PE11,,TIM1_CH2_3,,,,,,,UART7_TX_2,,,,FSMC_D8,,,EVENTOUT,,,
PortE,PE12,,TIM1_CH3N_3,,,,,,,UART7_RX_2,,,,FSMC_D9,,,EVENTOUT,,,
PortE,PE13,,TIM1_CH3_3,,,,,,,UART8_TX_2,,,,FSMC_D10,,,EVENTOUT,,,
PortE,PE14,,TIM1_CH4_3,,,,,,,UART8_RX_2,,,,FSMC_D11,,,EVENTOUT,,OPA2_OUT1,
PortE,PE15,,TIM1_BKIN_3,,,,,,,,,,,FSMC_D12,,,EVENTOUT,,OPA1_OUT1,
PortB,PB10,,TIM2_CH3_2/TIM2_CH3_3,,TIM10_BKIN_1,I2C2_SCL,,,USART3_TX,,,,ETH_MII_RX_ER,,,,EVENTOUT,,OPA2_CH0N,
PortB,PB11,,TIM2_CH4_2/TIM2_CH4_3,,TIM10_ETR_1,I2C2_SDA,,,USART3_RX,,,,ETH_MII_TX_EN/ETH_RMII_TX_EN,,,,EVENTOUT,,OPA1_CH0N,
PortB,PB12,,TIM1_BKIN,,,I2C2_SMBA,SPI2_NSS/I2S2_WS,,USART3_CK,,CAN2_RX,,ETH_MII_TXD0/ETH_RMII_TXD0,,,,EVENTOUT,,,
PortB,PB13,,TIM1_CH1N,,,,SPI2_SCK/I2S2_CK,,USART3_CTS_1/USART3_CTS,,CAN2_TX,,ETH_MII_TXD1/ETH_RMII_TXD1,,,,EVENTOUT,,OPA3_CH0P,
PortB,PB14,,TIM1_CH2N,,,,SPI2_MISO,,USART3_RTS_1/USART3_RTS,,,,,,,,EVENTOUT,,OPA2_CH0P,
PortB,PB15,,TIM1_CH3N,,,,SPI2_MOSI/I2S2_SD,,USART1_TX_2,,,,,,,,EVENTOUT,,OPA1_CH0P,
PortD,PD8,,,,TIM9_CH1N_2,,,,USART3_TX_3,,,,ETH_MII_RX_DV/ETH_RMII_CRS_DV,FSMC_D13,,,EVENTOUT,,,
PortD,PD9,,,,TIM9_CH1_ETR_2,,,,USART3_RX_3,,,,ETH_MII_RXD0/ETH_RMII_RXD0,FSMC_D14,,,EVENTOUT,,,
PortD,PD10,,,,TIM9_CH2N_2,,,,USART3_CK_3,,,,ETH_MII_RXD1/ETH_RMII_RXD1,FSMC_D15,,,EVENTOUT,,,
PortD,PD11,,,,TIM9_CH2_2,,,,USART3_CTS_3,,,,ETH_MII_RXD2,FSMC_A16,,,EVENTOUT,,,
PortD,PD12,,,TIM4_CH1_1,TIM9_CH3N_2,,,,USART3_RTS_3,,,,ETH_MII_RXD3,FSMC_A17,,,EVENTOUT,,,
PortD,PD13,,,TIM4_CH2_1,TIM9_CH3_2,,,,,,,,,FSMC_A18,,,EVENTOUT,,,
PortD,PD14,,,TIM4_CH3_1,TIM9_BKIN_2,,,,,,,,,FSMC_D0,,,EVENTOUT,,,
PortD,PD15,,,TIM4_CH4_1,TIM9_CH4_2,,,,,,,,,FSMC_D1,,,EVENTOUT,,,
PortC,PC6,,,TIM3_CH1_3,TIM8_CH1,,I2S2_MCK,,,,,,ETH_RXP,SDIO_D6,,,EVENTOUT,,,
PortC,PC7,,,TIM3_CH2_3,TIM8_CH2,,I2S3_MCK,,,,,,ETH_RXN,SDIO_D7,,,EVENTOUT,,,
PortC,PC8,,,TIM3_CH3_3,TIM8_CH3,,,,,,,,ETH_TXP,SDIO_D0,DVP_D2,,EVENTOUT,,,
PortC,PC9,,,TIM3_CH4_3,TIM8_CH4,,,,,,,,ETH_TXN,SDIO_D1,DVP_D3,,EVENTOUT,,,
PortA,PA8,MCO,TIM1_CH1/TIM1_CH1_1,,,,,,USART1_CK/USART1_CK_1/USART1_RX_2,,,,,,,,EVENTOUT,,,
PortA,PA9,,TIM1_CH2/TIM1_CH2_1,,,,,,USART1_TX/USART1_RTS_2,,,OTG_FS_VBUS,,,DVP_D0,,EVENTOUT,,,
PortA,PA10,,TIM1_CH3/TIM1_CH3_1,,,,,,USART1_RX/USART1_CK_2,,,OTG_FS_ID,,,DVP_D1,,EVENTOUT,,,
PortA,PA11,,TIM1_CH4_1/TIM1_CH4,,,,,,USART1_CTS/USART1_CTS_1,,CAN1_RX,USBDM/OTG_FS_DM,,,,,EVENTOUT,,,
PortA,PA12,,TIM1_ETR_1/TIM1_ETR,,TIM10_CH1N,,,,USART1_RTS/USART1_RTS_1,,CAN1_TX,USBDP/OTG_FS_DP,,,,,EVENTOUT,,,
PortA,PA13,SWDIO,,,TIM10_CH2N,,,,,,,,,,,,EVENTOUT,,,
PortA,PA14,SWCLK,,,TIM8_CH2N_1/TIM10_CH3N,,,,,UART8_TX_1,,,,,,,EVENTOUT,,,
PortA,PA15,,,TIM2_CH1_ETR_1/TIM2_CH1_ETR_3,TIM8_CH3N_1,,SPI1_NSS,SPI3_NSS/I2S3_WS,,UART8_RX_1,,,,,,,EVENTOUT,,,
PortC,PC10,,,,TIM10_ETR,,,SPI3_SCK/I2S3_CK,USART3_TX_1,UART4_TX,,,,SDIO_D2,DVP_D8,,EVENTOUT,,,
PortC,PC11,,,,TIM10_CH4,,,SPI3_MISO,USART3_RX_1,UART4_RX,,,,SDIO_D3,DVP_D4,,EVENTOUT,,,
PortC,PC12,,,,TIM10_BKIN,,,SPI3_MOSI/I2S3_SD,USART3_CK_1,UART5_TX,,,,SDIO_CK,DVP_D9,,EVENTOUT,,,
PortD,PD0,,,,TIM10_ETR_2,,,,,,CAN1_RX,,,FSMC_D2,,,EVENTOUT,,,
PortD,PD1,,,,TIM10_CH1_2,,,,,,CAN1_TX,,,FSMC_D3,,,EVENTOUT,,,
PortD,PD2,,,TIM3_ETR/TIM3_ETR_2/TIM3_ETR_3,,,,,,UART5_RX,,,,SDIO_CMD,DVP_D11,,EVENTOUT,,,
PortD,PD3,,,,TIM10_CH2_2,,,,USART2_CTS_1,,,,,FSMC_CLK,,,EVENTOUT,,,
PortD,PD4,,,,,,,,USART2_RTS_1,,,,,FSMC_NOE,,,EVENTOUT,,,
PortD,PD5,,,,TIM10_CH3_2,,,,USART2_TX_1,,,,,FSMC_NWE,,,EVENTOUT,,,
PortD,PD6,,,,,,,,USART2_RX_1,,,,,FSMC_NWAIT,DVP_D10,,EVENTOUT,,,
PortD,PD7,,,,TIM10_CH4_2,,,,USART2_CK_1,,,,,FSMC_NE1/FSMC_NCE2,,,EVENTOUT,,,
PortB,PB3,,TIM2_CH2_1,,TIM10_CH1_1,,SPI1_SCK,SPI3_SCK/I2S3_CK,,,,TIM2_CH2_3,,,,,EVENTOUT,,,
PortB,PB4,,,TIM3_CH1_2,TIM10_CH2_1,,,SPI3_MISO,,UART5_TX_1,,,,,,,EVENTOUT,,,
PortB,PB5,,,TIM3_CH2_2,TIM10_CH3_1,I2C1_SMBA,SPI1_MISO,SPI3_MOSI/I2S3_SD,,UART5_RX_1,CAN2_RX,,ETH_MII_PPS_OUT/ETH_RMII_PPS_OUT,,,,EVENTOUT,,,
PortB,PB6,,,TIM4_CH1,TIM8_CH1_1,I2C1_SCL,SPI1_MOSI,,USART1_TX_1,,CAN2_TX,USBHS_DM/USBHD_DM,,,DVP_D5,,EVENTOUT,,,
PortB,PB7,,,TIM4_CH2,TIM8_CH2_1,I2C1_SDA,,,USART1_RX_1,,,USBHS_DP/USBHD_DP,,FSMC_NADV,,,EVENTOUT,,,
PortB,PB8,,,TIM4_CH3,TIM8_CH3_1/TIM10_CH1,I2C1_SCL,,,,UART6_TX_1,CAN1_RX,,ETH_MII_TXD3,SDIO_D4,DVP_D6,,EVENTOUT,,,
PortB,PB9,,,TIM4_CH4,TIM8_BKIN_1/TIM10_CH2,I2C1_SDA,,,,UART6_RX_1,CAN1_TX,,,SDIO_D5,DVP_D7,,EVENTOUT,,,
PortE,PE0,,,,,,,,,UART4_TX_2,,,,FSMC_NBL0,,,EVENTOUT,,,
PortE,PE1,,,,,,,,,UART4_RX_2,,,,FSMC_NBL1,,,EVENTOUT,,,
