"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"P206","31","","","","Disabled","","","BUS_ASYNCH0: WAIT
CTSU0: TS01
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA
SCI4: RXD
SCI4: SCL
SDHI0: DAT2
USB_FS0: VBUSEN"
"P207","30","CTSU0_TS02","Low","","Peripheral mode","CMOS","None","CTSU0: TS02
QSPI0: QSSL"
"P208","37","","","","Disabled","","","BUS_ASYNCH0: CS4
DEBUG_TRACE0: TDATA3
GPT_OPS0: GTOVLO
QSPI0: QIO3
SDHI0: DAT0"
"P209","36","","","","Disabled","","","BUS_ASYNCH0: CS5
DEBUG_TRACE0: TDATA2
GPT_OPS0: GTOVUP
QSPI0: QIO2
SDHI0: WP"
"P210","35","","","","Disabled","","","BUS_ASYNCH0: CS6
DEBUG_TRACE0: TDATA1
GPT_OPS0: GTIW
QSPI0: QIO1
SDHI0: CD"
"P211","34","","","","Disabled","","","BUS_ASYNCH0: CS7
DEBUG_TRACE0: TDATA0
GPT_OPS0: GTIV
QSPI0: QIO0
SDHI0: CMD"
"P212","14","","","","Disabled","","","AGT1: AGTEE
CGC0: EXTAL
GPT_POEG3: GTETRG
GPT0: GTIOCB
ICU0: IRQ03
SCI1: RXD
SCI1: SCL"
"P213","13","","","","Disabled","","","ADC1: ADTRG
CGC0: XTAL
GPT_POEG2: GTETRG
GPT0: GTIOCA
ICU0: IRQ02
SCI1: SDA
SCI1: TXD"
"P214","33","","","","Disabled","","","DEBUG_TRACE0: TCLK
GPT_OPS0: GTIU
QSPI0: QSPCLK
SDHI0: CLK"
"P300","50","DEBUG0_TCK","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT_OPS0: GTOUUP
GPT0: GTIOCA
SPI1: SSL1"
"P301","49","SCI2_RXD","Low","None","Peripheral mode","CMOS","None","AGT0: AGTIO
BUS_ASYNCH0: A06
GPT_OPS0: GTOULO
GPT4: GTIOCB
ICU0: IRQ06
SCI2: RXD
SCI2: SCL
SCI9: CTS
SPI1: SSL2"
"P302","48","SCI2_TXD","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH0: A07
GPT_OPS0: GTOUUP
GPT4: GTIOCA
ICU0: IRQ05
SCI2: SDA
SCI2: TXD
SPI1: SSL3"
"P303","47","","","","Disabled","","","BUS_ASYNCH0: A08
GPT7: GTIOCB"
"P304","44","","","","Disabled","","","BUS_ASYNCH0: A09
GPT_OPS0: GTOWLO
GPT7: GTIOCA
ICU0: IRQ09"
"P305","43","","","","Disabled","","","BUS_ASYNCH0: A10
GPT_OPS0: GTOWUP
ICU0: IRQ08
QSPI0: QSPCLK"
"P306","42","","","","Disabled","","","BUS_ASYNCH0: A11
GPT_OPS0: GTOULO
QSPI0: QSSL"
"P307","41","","","","Disabled","","","BUS_ASYNCH0: A12
GPT_OPS0: GTOUUP
QSPI0: QIO0"
"P400","1","IIC0_SCL","Medium","None","Peripheral mode","CMOS","None","ADC1: ADTRG
AGT1: AGTIO
GPT6: GTIOCA
ICU0: IRQ00
IIC0: SCL
SCI4: SCK
SSI_COMMON0: AUDIO_CLK"
"P401","2","IIC0_SDA","Medium","None","Peripheral mode","CMOS","None","CAN0: CTX
GPT_POEG0: GTETRG
GPT6: GTIOCB
ICU0: IRQ05
IIC0: SDA
SCI4: CTS"
"P402","3","","","","Disabled","","","AGT0: AGTIO
AGT1: AGTIO
CAC0: CACREF
CAN0: CRX
ICU0: IRQ04
RTC0: RTCIC0
SSI_COMMON0: AUDIO_CLK"
"P403","4","","","","Disabled","","","AGT0: AGTIO
AGT1: AGTIO
GPT3: GTIOCA
RTC0: RTCIC1
SSI0: SSISCK"
"P404","5","","","","Disabled","","","GPT3: GTIOCB
RTC0: RTCIC2
SSI0: SSIWS"
"P405","6","","","","Disabled","","","GPT1: GTIOCA
SSI0: SSITXD"
"P406","7","","","","Disabled","","","GPT1: GTIOCB
SSI0: SSIRXD"
"P407","25","USBFS0_VBUS","Low","","Peripheral mode","CMOS","None","ADC0: ADTRG
AGT0: AGTIO
CTSU0: TS03
IIC0: SDA
RTC0: RTCOUT
SCI4: CTS
USB_FS0: VBUS"
"P408","24","","","","Disabled","","","CTSU0: TS04
GPT_OPS0: GTOWLO
GPT10: GTIOCB
ICU0: IRQ07
IIC0: SCL
SCI3: RXD
SCI3: SCL
USB_FS0: ID"
"P409","23","","","","Disabled","","","CTSU0: TS05
GPT_OPS0: GTOWUP
GPT10: GTIOCA
ICU0: IRQ06
SCI3: SDA
SCI3: TXD
USB_FS0: EXICEN"
"P410","22","SCI0_RXD","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOB
CTSU0: TS06
GPT_OPS0: GTOVLO
GPT9: GTIOCB
ICU0: IRQ05
SCI0: RXD
SCI0: SCL
SCI3: SCK
SDHI0: DAT1
SPI0: MISO"
"P411","21","SCI0_TXD","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOA
CTSU0: TS07
GPT_OPS0: GTOVUP
GPT9: GTIOCA
ICU0: IRQ04
SCI0: SDA
SCI0: TXD
SCI3: CTS
SDHI0: DAT0
SPI0: MOSI"
"P412","20","","","","Disabled","","","AGT1: AGTEE
CTSU0: TS08
GPT_OPS0: GTOULO
SCI0: SCK
SDHI0: CMD
SPI0: RSPCK"
"P413","19","","","","Disabled","","","CTSU0: TS09
GPT_OPS0: GTOUUP
SCI0: CTS
SDHI0: CLK
SPI0: SSL0"
"P414","18","","","","Disabled","","","CTSU0: TS10
GPT0: GTIOCB
ICU0: IRQ09
SDHI0: WP
SPI0: SSL1"
"P415","17","GPIO","","IRQ08","Input mode","","None","CTSU0: TS11
GPT0: GTIOCA
ICU0: IRQ08
SDHI0: CD
SPI0: SSL2
USB_FS0: VBUSEN"
"P500","76","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN16
AGT0: AGTOA
GPT_OPS0: GTIU
GPT11: GTIOCA
QSPI0: QSPCLK
SDHI1: CLK
USB_FS0: VBUSEN"
"P501","77","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC1: AN16
AGT0: AGTOB
GPT_OPS0: GTIV
GPT11: GTIOCB
ICU0: IRQ11
QSPI0: QSSL
SDHI1: CMD
USB_FS0: OVRCURA"
"P502","78","","","","Disabled","","","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN17
GPT_OPS0: GTIW
GPT12: GTIOCA
ICU0: IRQ12
QSPI0: QIO0
SDHI1: DAT0
USB_FS0: OVRCURB"
"P503","79","","","","Disabled","","","ADC1: AN17
GPT_POEG2: GTETRG
GPT12: GTIOCB
QSPI0: QIO1
SDHI1: DAT1
USB_FS0: EXICEN"
"P504","80","","","","Disabled","","","ADC0: AN18
BUS_ASYNCH0: ALE
GPT_POEG3: GTETRG
QSPI0: QIO2
SDHI1: DAT2
USB_FS0: ID"
"P508","81","","","","Disabled","","","ADC0: AN20
SDHI1: DAT3"
"P600","67","","","","Disabled","","","BUS_ASYNCH0: RD
CAC0: CACREF
CGC0: CLKOUT
GPT6: GTIOCB
SCI9: SCK"
"P601","66","","","","Disabled","","","BUS_ASYNCH0: WR0
GPT6: GTIOCA
SCI9: RXD
SCI9: SCL"
"P602","65","","","","Disabled","","","BUS_ASYNCH0: BCLK
GPT7: GTIOCB
SCI9: SDA
SCI9: TXD"
"P608","59","","","","Disabled","","","BUS_ASYNCH0: A00
GPT4: GTIOCB"
"P609","60","","","","Disabled","","","BUS_ASYNCH0: CS1
CAN1: CTX
GPT5: GTIOCA"
"P610","61","","","","Disabled","","","BUS_ASYNCH0: CS0
CAN1: CRX
GPT5: GTIOCB"
"P708","16","","","","Disabled","","","CAC0: CACREF
CTSU0: TS12
ICU0: IRQ11
SCI1: RXD
SCI1: SCL
SPI0: SSL3
SSI_COMMON0: AUDIO_CLK"
"RES#","38","SYSTEM0_RES","","","","","",""
"USBDM","27","USBFS0_DM","","","","","",""
"USBDP","28","USBFS0_DP","","","","","",""
"VBATT","8","SYSTEM0_VBATT","","","","","",""
"VCC","46","SYSTEM0_VCC","","","","","",""
"VCC","15","SYSTEM0_VCC","","","","","",""
"VCC","82","SYSTEM0_VCC","","","","","",""
"VCC","62","SYSTEM0_VCC","","","","","",""
"VCCUSB","29","USBFS0_VCC","","","","","",""
"VCL","64","SYSTEM0_VCL","","","","","",""
"VCL0","9","SYSTEM0_VCL0","","","","","",""
"VREFH","87","ANALOG0_VREFH","","","","","",""
"VREFH0","91","ANALOG0_VREFH0","","","","","",""
"VREFL","86","ANALOG0_VREFL","","","","","",""
"VREFL0","90","ANALOG0_VREFL0","","","","","",""
"VSS","12","SYSTEM0_VSS","","","","","",""
"VSS","45","SYSTEM0_VSS","","","","","",""
"VSS","83","SYSTEM0_VSS","","","","","",""
"VSS","63","SYSTEM0_VSS","","","","","",""
"VSSUSB","26","USBFS0_VSS","","","","","",""
"XCIN","10","CGC0_XCIN","","","","","",""
"XCOUT","11","CGC0_XCOUT","","","","","",""
