LQFP,Pin Name,Default,ALT0,ALT1,ALT2,ALT3,ALT4,ALT5,ALT6,ALT7,EzPort
83,PTB2,ADC0_SE12,ADC0_SE12,PTB2,I2C0_SCL,UART0_RTS_b,ENET0_1588_TMR0,,FTM0_FLT3,,
84,PTB3,ADC0_SE13,ADC0_SE13,PTB3,I2C0_SDA,UART0_CTS_b/UART0_COL_b,ENET0_1588_TMR1,,FTM0_FLT0,,
85,PTB4,ADC1_SE10,ADC1_SE10,PTB4,,,ENET0_1588_TMR2,,FTM1_FLT0,,
86,PTB5,ADC1_SE11,ADC1_SE11,PTB5,,,ENET0_1588_TMR3,,FTM2_FLT0,,
87,PTB6,ADC1_SE12,ADC1_SE12,PTB6,,,,FB_AD23,,,
88,PTB7,ADC1_SE13,ADC1_SE13,PTB7,,,,FB_AD22,,,
89,PTB8,DISABLED,,PTB8,,UART3_RTS_b,,FB_AD21,,,
90,PTB9,DISABLED,,PTB9,SPI1_PCS1,UART3_CTS_b,,FB_AD20,,,
91,PTB10,ADC1_SE14,ADC1_SE14,PTB10,SPI1_PCS0,UART3_RX,,FB_AD19,FTM0_FLT1,,
92,PTB11,ADC1_SE15,ADC1_SE15,PTB11,SPI1_SCK,UART3_TX,,FB_AD18,FTM0_FLT2,,
93,VSS,VSS,VSS,,,,,,,,
94,VDD,VDD,VDD,,,,,,,,
95,PTB16,DISABLED,,PTB16,SPI1_SOUT,UART0_RX,FTM_CLKIN0,FB_AD17,EWM_IN,,
96,PTB17,DISABLED,,PTB17,SPI1_SIN,UART0_TX,FTM_CLKIN1,FB_AD16,EWM_OUT_b,,
97,PTB18,DISABLED,,PTB18,CAN0_TX,FTM2_CH0,I2S0_TX_BCLK,FB_AD15,FTM2_QD_PHA,,
98,PTB19,DISABLED,,PTB19,CAN0_RX,FTM2_CH1,I2S0_TX_FS,FB_OE_b,FTM2_QD_PHB,,
99,PTB20,DISABLED,,PTB20,SPI2_PCS0,,,FB_AD31,CMP0_OUT,,
100,PTB21,DISABLED,,PTB21,SPI2_SCK,,,FB_AD30,CMP1_OUT,,
101,PTB22,DISABLED,,PTB22,SPI2_SOUT,,,FB_AD29,CMP2_OUT,,
102,PTB23,DISABLED,,PTB23,SPI2_SIN,SPI0_PCS5,,FB_AD28,,,
103,PTC0,ADC0_SE14,ADC0_SE14,PTC0,SPI0_PCS4,PDB0_EXTRG,USB_SOF_OUT,FB_AD14,I2S0_TXD1,,
104,PTC1/LLWU_P6,ADC0_SE15,ADC0_SE15,PTC1/LLWU_P6,SPI0_PCS3,UART1_RTS_b,FTM0_CH0,FB_AD13,I2S0_TXD0,,
105,PTC2,ADC0_SE4b/CMP1_IN0,ADC0_SE4b/CMP1_IN0,PTC2,SPI0_PCS2,UART1_CTS_b,FTM0_CH1,FB_AD12,I2S0_TX_FS,,
106,PTC3/LLWU_P7,CMP1_IN1,CMP1_IN1,PTC3/LLWU_P7,SPI0_PCS1,UART1_RX,FTM0_CH2,CLKOUT,I2S0_TX_BCLK,,
107,VSS,VSS,VSS,,,,,,,,
108,VDD,VDD,VDD,,,,,,,,
109,PTC4/LLWU_P8,DISABLED,,PTC4/LLWU_P8,SPI0_PCS0,UART1_TX,FTM0_CH3,FB_AD11,CMP1_OUT,,
110,PTC5/LLWU_P9,DISABLED,,PTC5/LLWU_P9,SPI0_SCK,LPTMR0_ALT2,I2S0_RXD0,FB_AD10,CMP0_OUT,FTM0_CH2,
111,PTC6/LLWU_P10,CMP0_IN0,CMP0_IN0,PTC6/LLWU_P10,SPI0_SOUT,PDB0_EXTRG,I2S0_RX_BCLK,FB_AD9,I2S0_MCLK,,
112,PTC7,CMP0_IN1,CMP0_IN1,PTC7,SPI0_SIN,USB_SOF_OUT,I2S0_RX_FS,FB_AD8,,,
113,PTC8,ADC1_SE4b/CMP0_IN2,ADC1_SE4b/CMP0_IN2,PTC8,,FTM3_CH4,I2S0_MCLK,FB_AD7,,,
114,PTC9,ADC1_SE5b/CMP0_IN3,ADC1_SE5b/CMP0_IN3,PTC9,,FTM3_CH5,I2S0_RX_BCLK,FB_AD6,FTM2_FLT0,,
115,PTC10,ADC1_SE6b,ADC1_SE6b,PTC10,I2C1_SCL,FTM3_CH6,I2S0_RX_FS,FB_AD5,,,
116,PTC11/LLWU_P11,ADC1_SE7b,ADC1_SE7b,PTC11/LLWU_P11,I2C1_SDA,FTM3_CH7,I2S0_RXD1,FB_RW_b,,,
117,PTC12,DISABLED,,PTC12,,UART4_RTS_b,,FB_AD27,FTM3_FLT0,,
118,PTC13,DISABLED,,PTC13,,UART4_CTS_b,,FB_AD26,,,
119,PTC14,DISABLED,,PTC14,,UART4_RX,,FB_AD25,,,
120,PTC15,DISABLED,,PTC15,,UART4_TX,,FB_AD24,,,
121,VSS,VSS,VSS,,,,,,,,
122,VDD,VDD,VDD,,,,,,,,
123,PTC16,DISABLED,,PTC16,,UART3_RX,ENET0_1588_TMR0,FB_CS5_b/FB_TSIZ1/FB_BE23_16_BLS15_8_b,,,
124,PTC17,DISABLED,,PTC17,,UART3_TX,ENET0_1588_TMR1,FB_CS4_b/FB_TSIZ0/FB_BE31_24_BLS7_0_b,,,
125,PTC18,DISABLED,,PTC18,,UART3_RTS_b,ENET0_1588_TMR2,FB_TBST_b/FB_CS2_b/FB_BE15_8_BLS23_16_b,,,
126,PTC19,DISABLED,,PTC19,,UART3_CTS_b,ENET0_1588_TMR3,FB_CS3_b/FB_BE7_0_BLS31_24_b,FB_TA_b,,
127,PTD0/LLWU_P12,DISABLED,,PTD0/LLWU_P12,SPI0_PCS0,UART2_RTS_b,FTM3_CH0,FB_ALE/FB_CS1_b/FB_TS_b,,,
128,PTD1,ADC0_SE5b,ADC0_SE5b,PTD1,SPI0_SCK,UART2_CTS_b,FTM3_CH1,FB_CS0_b,,,
129,PTD2/LLWU_P13,DISABLED,,PTD2/LLWU_P13,SPI0_SOUT,UART2_RX,FTM3_CH2,FB_AD4,,I2C0_SCL,
130,PTD3,DISABLED,,PTD3,SPI0_SIN,UART2_TX,FTM3_CH3,FB_AD3,,I2C0_SDA,
131,PTD4/LLWU_P14,DISABLED,,PTD4/LLWU_P14,SPI0_PCS1,UART0_RTS_b,FTM0_CH4,FB_AD2,EWM_IN,SPI1_PCS0,
132,PTD5,ADC0_SE6b,ADC0_SE6b,PTD5,SPI0_PCS2,UART0_CTS_b/UART0_COL_b,FTM0_CH5,FB_AD1,EWM_OUT_b,SPI1_SCK,
133,PTD6/LLWU_P15,ADC0_SE7b,ADC0_SE7b,PTD6/LLWU_P15,SPI0_PCS3,UART0_RX,FTM0_CH6,FB_AD0,FTM0_FLT0,SPI1_SOUT,
134,VSS,VSS,VSS,,,,,,,,
135,VDD,VDD,VDD,,,,,,,,
136,PTD7,DISABLED,,PTD7,CMT_IRO,UART0_TX,FTM0_CH7,,FTM0_FLT1,SPI1_SIN,
137,PTD8,DISABLED,,PTD8,I2C0_SCL,UART5_RX,,,FB_A16,,
138,PTD9,DISABLED,,PTD9,I2C0_SDA,UART5_TX,,,FB_A17,,
139,PTD10,DISABLED,,PTD10,,UART5_RTS_b,,,FB_A18,,
140,PTD11,DISABLED,,PTD11,SPI2_PCS0,UART5_CTS_b,SDHC0_CLKIN,,FB_A19,,
141,PTD12,DISABLED,,PTD12,SPI2_SCK,FTM3_FLT0,SDHC0_D4,,FB_A20,,
142,PTD13,DISABLED,,PTD13,SPI2_SOUT,,SDHC0_D5,,FB_A21,,
143,PTD14,DISABLED,,PTD14,SPI2_SIN,,SDHC0_D6,,FB_A22,,
144,PTD15,DISABLED,,PTD15,SPI2_PCS1,,SDHC0_D7,,FB_A23,,
