Port  ,Pin  ,AF0                      ,AF1                                 ,AF2                                   ,AF3               ,AF4             ,AF5              ,AF6              ,AF7              ,AF8           ,AF9          ,AF10               ,AF11               ,AF12,AF13         ,AF14                      ,AF15
Port10,P10_1,                         ,TCPWM0_LINE_COMPL1                  ,TCPWM0_LINE_COMPL257                  ,M33SYSCPUSS_FAULT1,                ,                 ,SCB4_SPI_CLK     ,SCB4_I2C_SDA     ,SCB4_UART_TX  ,             ,                   ,                   ,    ,             ,                          ,ETH_RX_CLK 
Port10,P10_2,                         ,TCPWM0_LINE2                        ,TCPWM0_LINE258                        ,                  ,                ,                 ,SCB4_SPI_MOSI    ,                 ,SCB4_UART_CTS ,             ,                   ,                   ,    ,             ,                          ,ETH_TX_ER 
Port10,P10_3,                         ,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE_COMPL258                  ,                  ,                ,                 ,SCB4_SPI_MISO    ,                 ,SCB4_UART_RTS ,             ,                   ,                   ,    ,             ,                          ,ETH_ETH_TSU_TIMER_CMP_VAL 
Port10,P10_4,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE259                        ,                  ,                ,                 ,SCB4_SPI_SELECT0 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_RXD3 
Port10,P10_5,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL259                  ,                  ,                ,                 ,SCB4_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_RX_CTL 
Port10,P10_6,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE260                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_RXD0 
Port10,P10_7,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL260                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_RXD1 
Port10,P11_0,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE261                        ,                  ,                ,TDM_TDM_TX_SCK1  ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_RXD2 
Port11,P11_1,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL261                  ,                  ,                ,TDM_TDM_TX_FSYNC1,SCB6_SPI_MOSI    ,SCB6_I2C_SDA     ,SCB6_UART_TX  ,             ,PERI0_TR_IO_INPUT1 ,PERI1_TR_IO_INPUT1 ,    ,             ,                          ,ETH_RX_ER 
Port11,P11_2,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE262                        ,                  ,                ,TDM_TDM_TX_SD1   ,SCB6_SPI_MISO    ,                 ,SCB6_UART_CTS ,             ,PERI0_TR_IO_INPUT2 ,PERI1_TR_IO_INPUT2 ,    ,             ,                          ,ETH_TXD0 
Port11,P11_3,                         ,TCPWM0_LINE_COMPL6                  ,TCPWM0_LINE_COMPL262                  ,                  ,                ,TDM_TDM_RX_MCK1  ,SCB6_SPI_SELECT0 ,                 ,SCB6_UART_RTS ,             ,PERI0_TR_IO_INPUT3 ,PERI1_TR_IO_INPUT3 ,    ,             ,                          ,ETH_TXD1 
Port11,P11_4,                         ,TCPWM0_LINE7                        ,TCPWM0_LINE263                        ,                  ,                ,TDM_TDM_RX_SCK1  ,SCB6_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_TX_CTL 
Port11,P11_5,                         ,TCPWM0_LINE_COMPL7                  ,TCPWM0_LINE_COMPL263                  ,                  ,                ,TDM_TDM_RX_FSYNC1,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_TX_CLK 
Port11,P11_6,                         ,TCPWM0_LINE0                        ,TCPWM0_LINE264                        ,                  ,                ,TDM_TDM_RX_SD1   ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_TXD2 
Port11,P11_7,                         ,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE_COMPL264                  ,                  ,                ,TDM_TDM_TX_MCK1  ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_REF_CLK 
Port12,P12_0,                         ,TCPWM0_LINE1                        ,TCPWM0_LINE265                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CLK_CARD 
Port12,P12_1,                         ,TCPWM0_LINE_COMPL1                  ,TCPWM0_LINE_COMPL265                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_DAT_3TO00 
Port12,P12_2,                         ,TCPWM0_LINE2                        ,TCPWM0_LINE266                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_DAT_3TO01
Port12,P12_3,SMIF1_SMIF0_SPIHB_SELECT3,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE_COMPL266                  ,                  ,                ,                 ,                 ,TDM_TDM_TX_FSYNC0,              ,             ,                   ,                   ,    ,             ,                          , 
Port12,P12_4,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE267                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_DAT_3TO02 
Port12,P12_5,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL267                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,SDHC0_CARD_DAT_3TO03 
Port13,P13_0,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port13,P13_1,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE268                        ,                  ,                ,                 ,SCB7_SPI_CLK     ,SCB7_I2C_SCL     ,SCB7_UART_RX  ,             ,                   ,                   ,    ,             ,                          ,ETH_MDC 
Port13,P13_2,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL268                  ,                  ,                ,                 ,SCB7_SPI_MOSI    ,SCB7_I2C_SDA     ,SCB7_UART_TX  ,PDM_PDM_CLK1 ,                   ,                   ,    ,             ,                          , 
Port13,P13_3,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE269                        ,                  ,                ,                 ,SCB7_SPI_MISO    ,                 ,SCB7_UART_CTS ,PDM_PDM_DATA1,                   ,                   ,    ,             ,                          , 
Port13,P13_4,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL269                  ,                  ,                ,                 ,SCB7_SPI_SELECT0 ,                 ,SCB7_UART_RTS ,             ,                   ,                   ,    ,             ,                          , 
Port13,P13_5,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port13,P13_6,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE270                        ,                  ,                ,                 ,SCB7_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,ETH_MDIO 
Port13,P13_7,                         ,TCPWM0_LINE_COMPL6                  ,TCPWM0_LINE_COMPL270                  ,                  ,                ,                 ,SCB8_SPI_MISO    ,                 ,SCB8_UART_CTS ,             ,                   ,                   ,    ,             ,                          , 
Port14,P14_0,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port14,P14_1,                         ,TCPWM0_LINE7                        ,TCPWM0_LINE271                        ,                  ,                ,                 ,                 ,                 ,              ,PDM_PDM_CLK0 ,                   ,                   ,    ,             ,                          , 
Port14,P14_2,                         ,TCPWM0_LINE_COMPL7                  ,TCPWM0_LINE_COMPL271                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port14,P14_3,                         ,TCPWM0_LINE0                        ,TCPWM0_LINE272                        ,                  ,                ,                 ,SCB8_SPI_MOSI    ,SCB8_I2C_SDA     ,SCB8_UART_TX  ,             ,                   ,                   ,    ,             ,                          , 
Port14,P14_4,                         ,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE_COMPL272                  ,                  ,                ,                 ,SCB8_SPI_CLK     ,SCB8_I2C_SCL     ,SCB8_UART_RX  ,PDM_PDM_DATA0,                   ,                   ,    ,             ,                          , 
Port14,P14_5,                         ,                                    ,                                      ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port14,P14_6,                         ,TCPWM0_LINE1                        ,TCPWM0_LINE273                        ,                  ,                ,                 ,SCB8_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port14,P14_7,                         ,TCPWM0_LINE_COMPL1                  ,TCPWM0_LINE_COMPL273                  ,                  ,                ,                 ,SCB8_SPI_SELECT0 ,                 ,SCB8_UART_RTS ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_0,                         ,TCPWM0_LINE2                        ,TCPWM0_LINE274                        ,                  ,                ,                 ,SCB9_SPI_CLK     ,SCB9_I2C_SCL     ,SCB9_UART_RX  ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_1,                         ,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE_COMPL274                  ,                  ,                ,                 ,SCB9_SPI_MOSI    ,SCB9_I2C_SDA     ,SCB9_UART_TX  ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_2,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE275                        ,                  ,                ,                 ,SCB9_SPI_MISO    ,                 ,SCB9_UART_CTS ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_3,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL275                  ,                  ,                ,                 ,SCB9_SPI_SELECT0 ,                 ,SCB9_UART_RTS ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_4,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE276                        ,                  ,                ,                 ,SCB9_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_5,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL276                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          ,
Port15,P15_6,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE277                        ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port15,P15_7,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL277                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port16,P16_0,                         ,TCPWM0_LINE0                        ,TCPWM0_LINE256                        ,                  ,CANFD0_TTCAN_RX0,                 ,SCB10_SPI_CLK    ,SCB10_I2C_SCL    ,SCB10_UART_RX ,             ,                   ,                   ,    ,             ,GFXSS_DBI_CSX             ,GFXSS_SPI_CSX 
Port16,P16_1,                         ,TCPWM0_LINE1                        ,TCPWM0_LINE257                        ,                  ,CANFD0_TTCAN_TX0,                 ,SCB10_SPI_MOSI   ,SCB10_I2C_SDA    ,SCB10_UART_TX ,             ,                   ,                   ,    ,GFXSS_DBI_WRX,GFXSS_DBI_E               ,GFXSS_SPI_SCL 
Port16,P16_2,                         ,TCPWM0_LINE2                        ,TCPWM0_LINE258                        ,                  ,CANFD0_TTCAN_RX1,                 ,SCB10_SPI_MISO   ,                 ,SCB10_UART_CTS,             ,                   ,                   ,    ,             ,GFXSS_DBI_DCX             ,GFXSS_SPI_DOUT
Port16,P16_3,                         ,TCPWM0_LINE3                        ,TCPWM0_LINE259                        ,                  ,                ,                 ,SCB10_SPI_SELECT0,                 ,SCB10_UART_RTS,             ,                   ,                   ,    ,             ,GFXSS_DBI_D0              ,GFXSS_SPI_DCX 
Port16,P16_4,                         ,TCPWM0_LINE4                        ,TCPWM0_LINE260                        ,                  ,                ,                 ,SCB10_SPI_SELECT1,                 ,              ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D1              , 
Port16,P16_5,                         ,TCPWM0_LINE5                        ,TCPWM0_LINE261                        ,                  ,                ,                 ,SCB5_SPI_MISO    ,                 ,SCB5_UART_CTS ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D2              , 
Port16,P16_6,                         ,TCPWM0_LINE6                        ,TCPWM0_LINE278                        ,                  ,                ,                 ,SCB5_SPI_SELECT0 ,                 ,SCB5_UART_RTS ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D3              , 
Port16,P16_7,                         ,TCPWM0_LINE7                        ,TCPWM0_LINE279                        ,                  ,                ,                 ,SCB5_SPI_SELECT1 ,                 ,              ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D4              ,
Port17,P17_0,                         ,TCPWM0_LINE_COMPL0                  ,TCPWM0_LINE_COMPL256                  ,                  ,                ,                 ,SCB5_SPI_CLK     ,SCB5_I2C_SCL     ,SCB5_UART_RX  ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D5              , 
Port17,P17_1,                         ,TCPWM0_LINE_COMPL1                  ,TCPWM0_LINE_COMPL257                  ,                  ,                ,                 ,SCB5_SPI_MOSI    ,SCB5_I2C_SDA     ,SCB5_UART_TX  ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D6              ,  
Port17,P17_2,                         ,TCPWM0_LINE_COMPL2                  ,TCPWM0_LINE_COMPL258                  ,                  ,                ,                 ,SCB11_SPI_CLK    ,SCB11_I2C_SCL    ,SCB11_UART_RX ,             ,                   ,                   ,    ,             ,GFXSS_DBI_D7              , 
Port17,P17_3,                         ,TCPWM0_LINE_COMPL3                  ,TCPWM0_LINE_COMPL259                  ,                  ,                ,                 ,SCB11_SPI_MOSI   ,SCB11_I2C_SDA    ,SCB11_UART_TX ,             ,                   ,                   ,    ,             ,                          , 
Port17,P17_4,                         ,TCPWM0_LINE_COMPL4                  ,TCPWM0_LINE_COMPL260                  ,                  ,                ,                 ,                 ,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
Port17,P17_5,                         ,TCPWM0_LINE_COMPL5                  ,TCPWM0_LINE_COMPL261                  ,                  ,                ,                 ,SCB11_SPI_MISO   ,                 ,SCB11_UART_CTS,             ,                   ,                   ,    ,             ,                          ,     
Port17,P17_6,                         ,TCPWM0_LINE_COMPL6                  ,TCPWM0_LINE_COMPL278                  ,                  ,                ,                 ,SCB11_SPI_SELECT0,                 ,SCB11_UART_RTS,             ,                   ,                   ,    ,             ,                          , 
Port17,P17_7,                         ,TCPWM0_LINE_COMPL7                  ,TCPWM0_LINE_COMPL279                  ,                  ,                ,                 ,SCB11_SPI_SELECT1,                 ,              ,             ,                   ,                   ,    ,             ,                          , 
