Port,,AF0,AF1,AF2,AF3,AF4
PortD,PD2,LP0_D0,PWM1_TRIP0,TRACE0_D00,,
PortD,PD3,LP0_D1,PWM1_AH,TRACE0_D01,,
PortD,PD4,LP0_D2,PWM1_AL,TRACE0_D02,,
PortD,PD5,LP0_D3,PWM1_BH,TRACE0_D03,,
PortD,PD6,LP0_D4,PWM1_BL,TRACE0_D04,,
PortD,PD7,LP0_D5,PWM1_CH,TRACE0_D05,,
PortD,PD8,LP0_D6,PWM1_CL,TRACE0_D06,,TM0_ACLK1
PortD,PD9,LP0_D7,PWM1_DH,TRACE0_D07,,TM0_ACLK2
PortD,PD10,LP0_CLK,PWM1_DL,TRACE0_CLK,,
PortD,PD11,LP0_ACK,PWM1_SYNC,,,
PortD,PD12,UART2_TX,,PPI0_D19,SMC0_A06,
PortD,PD13,UART2_RX,,PPI0_D18,SMC0_A05,TM0_ACI2
PortD,PD14,PPI0_D11,PWM2_TRIP0,MLB0_CLKOUT,SMC0_D06,
PortD,PD15,PPI0_D10,PWM2_CH,,SMC0_D05,
PortE,PE0,PPI0_D09,PWM2_CL,,SMC0_D04,
PortE,PE1,PPI0_FS2,SPI0_SEL5,UART1_CTS,C1_FLG0,
PortE,PE2,PPI0_FS1,SPI0_SEL6,UART1_RTS,C2_FLG0,
PortE,PE3,PPI0_CLK,SPI0_SEL7,SPI2_SEL2,C1_FLG1,
PortE,PE4,PPI0_D08,PWM2_DH,SPI2_SEL3,C2_FLG1,
PortE,PE5,PPI0_D07,PWM2_SYNC,SPI2_SEL4,C1_FLG2,
PortE,PE6,PPI0_D06,,SPI2_SEL5,C2_FLG2,
PortE,PE7,PPI0_D05,,SPI1_SEL2,C1_FLG3,
PortE,PE8,PPI0_D04,SPI1_SEL5,SPI1_RDY,C2_FLG3,
PortE,PE9,PPI0_D03,PWM0_SYNC,TM0_TMR0,SMC0_D03,
PortE,PE10,PPI0_D02,PWM2_DL,UART2_RTS,SMC0_D02,
PortE,PE11,PPI0_D01,SPI1_SEL3,UART2_CTS,SMC0_D01,SPI1_SS
PortE,PE12,PPI0_D00,SPI1_SEL4,SPI2_RDY,SMC0_D00,
PortE,PE13,SPI1_SCK,,PPI0_D20,SMC0_AMS1,
PortE,PE14,SPI1_MISO,,PPI0_D21,SMC0_ABE0,
PortE,PE15,SPI1_MOSI,,PPI0_D22,SMC0_ABE1,
PortF,PF00,TM0_TMR6,SPI1_SEL6,,,
PortF,PF01,TM0_TMR7,SPI1_SEL7,,,
PortF,PF02,MSI0_D0,HADC0_EOC_DOUT,,,
PortF,PF03,MSI0_D1,HADC0_MUX2,,,
PortF,PF04,MSI0_D2,HADC0_MUX1,,,
PortF,PF05,MSI0_D3,HADC0_MUX0,,,
PortF,PF06,MSI0_D4,PWM2_AL,,,
PortF,PF07,MSI0_D5,PWM2_AH,,,
PortF,PF08,MSI0_D6,PWM2_BL,,,
PortF,PF09,MSI0_D7,PWM2_BH,,,
PortF,PF10,MSI0_CMD,,,,
PortF,PF11,MSI0_CLK,,,,
PortF,PF12,MSI0_CD,,,,
PortF,PF13,ETH1_CRS,TRACE0_D08,TRACE0_D00,MSI0_INT,
PortF,PF14,ETH1_MDC,TRACE0_D09,TRACE0_D01,,
PortF,PF15,ETH1_MDIO,TRACE0_D10,TRACE0_D02,,
PortG,PG00,ETH1_REFCLK,TRACE0_CLK,,,
PortG,PG01,ETH1_TXEN,TRACE0_D11,TRACE0_D03,,
PortG,PG02,ETH1_TXD0,TRACE0_D12,TRACE0_D04,,
PortG,PG03,ETH1_TXD1,TRACE0_D13,TRACE0_D05,,
PortG,PG04,ETH1_RXD0,TRACE0_D14,TRACE0_D06,,
PortG,PG05,ETH1_RXD1,TRACE0_D15,TRACE0_D07,,
