"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"P205","8","SCI4_TXD","Low","None","Peripheral mode","CMOS","None","AGT1: AGTO
BUS_ASYNCH0: A16
CGC0: CLKOUT
CTSU0: TSCAP
GPT_OPS0: GTIV
GPT4: GTIOCA
ICU0: IRQ01
IIC1: SCL
SCI4: SDA
SCI4: TXD
SCI9: CTS
SDHI0: DAT3
SLCDC0: SEG20
SPI1: SSL0
USB_FS0: OVRCURA"
"P206","7","SCI4_RXD","Low","None","Peripheral mode","CMOS","None","BUS_ASYNCH0: WAIT
CTSU0: TS01
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA
SCI4: RXD
SCI4: SCL
SDHI0: DAT2
SLCDC0: SEG12
SPI1: SSL1
USB_FS0: VBUSEN"
"P212","53","SCI1_RXD","","None","Peripheral mode","CMOS","None","AGT1: AGTEE
CGC0: EXTAL
GPT_POEG1: GTETRG
GPT0: GTIOCB
ICU0: IRQ03
SCI1: RXD
SCI1: SCL"
"P213","52","SCI1_TXD","","None","Peripheral mode","CMOS","None","CGC0: XTAL
GPT_POEG0: GTETRG
GPT0: GTIOCA
ICU0: IRQ02
SCI1: SDA
SCI1: TXD"
"P214","50","","","","Disabled","","","CGC0: XCOUT"
"P215","49","","","","Disabled","","","CGC0: XCIN"
"P300","13","","","","Disabled","","","DEBUG0: SWCLK
DEBUG0: TCK
GPT_OPS0: GTOUUP
GPT0: GTIOCA
SPI1: SSL1"
"P305","","","","","Disabled","","",""
"P402","44","IRQ0_IRQ04","","IRQ04","IRQ mode","","None","AGT0: AGTIO
AGT1: AGTIO
CAN0: CRX
CTSU0: TS18
ICU0: IRQ04
RTC0: RTCIC0
SCI1: RXD
SCI1: SCL
SLCDC0: SEG06"
"P404","46","GPIO","Low","","Output mode (Initial High)","CMOS","","GPT3: GTIOCB
RTC0: RTCIC2
SSI0: SSIWS"
"P407","1","","","","Disabled","","","ADC0: ADTRG
AGT0: AGTIO
CTSU0: TS03
IIC0: SDA
RTC0: RTCOUT
SCI4: CTS
SLCDC0: SEG11
SPI1: SSL3
USBFS0: VBUS"
"P409","56","","","","Disabled","","","GPT_OPS0: GTOWUP
GPT5: GTIOCA
ICU0: IRQ06
SLCDC0: SEG09"
"P414","55","","","","Disabled","","","GPT0: GTIOCB
ICU0: IRQ09
SDHI0: WP
SPI0: SSL1"
"P501","29","","","","Disabled","","","ACMPLP1: CMPIN
ADC0: AN17
AGT0: AGTOB
GPT_OPS0: GTIV
GPT2: GTIOCB
ICU0: IRQ11
QSPI0: QSSL
SLCDC0: SEG49
USB_FS0: OVRCURA"
"P914","4","","","","Disabled","","","USB_FS0: DP"
"P915","3","","","","Disabled","","","USB_FS0: DM"
"Q1","34","RADIO0_Q1","","","","","",""
"Q2","33","RADIO0_Q2","","","","","",""
"RES#","10","SYSTEM0_RES","","","","","",""
"TEST0","28","RADIO0_TEST0","","","","","",""
"VBATT","47","SYSTEM0_VBATT","","","","","",""
"VCC","18","SYSTEM0_VCC","","","","","",""
"VCC","54","SYSTEM0_VCC","","","","","",""
"VCCUSB","5","USBFS0_VCC","","","","","",""
"VCCUSBLDO","6","USBFS0_VCCLDO","","","","","",""
"VCL","48","SYSTEM0_VCL","","","","","",""
"VDDDIG","43","RADIO0_VDDDIG","","","","","",""
"VDDRF","42","RADIO0_VDDRF","","","","","",""
"VSS","19","SYSTEM0_VSS","","","","","",""
"VSS","51","SYSTEM0_VSS","","","","","",""
"VSSUSB","2","USBFS0_VSS","","","","","",""
