CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22
-,7,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,7,,,,,,,,,,,,,,,,,,,,,,,,,
P708,7,8,,IRQ11,,,,,,RXD1/MISO1/SCL1,SSLA3_B,,,,CACREF,,TS12,,,,,,AUDIO_CLK,,,,
-,7,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,15,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,0,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,1,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,7,,,,,,,,,,,,,,,,,,,,,,,,,
P808,8,8,,,,,,,,,,,,,,,,,,,,,,,,,
P809,8,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,13,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,14,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,15,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,0,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,1,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,2,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,3,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,4,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,5,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,6,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,7,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,8,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,9,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,10,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,11,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,12,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,13,,,,,,,,,,,,,,,,,,,,,,,,,
P914,9,14,,,,,,,,,,,,,,,,,,,,,,(USB_DP),,,
P915,9,15,,,,,,,,,,,,,,,,,,,,,,(USB_DM),,,
