CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,,,
P501,5,1,AN116,IRQ11,,AGTOB0,GTIV,GTIOC11B,,TXD5/MOSI5/SDA5,,,,,,,,,,,,QSSL,,USB_OVRCURA,,SD1CMD_A,,,,
P502,5,2,AN017,IRQ12,,,GTIW, GTIOC12A,,RXD5/MISO5/SCL5,,,,,,,,,,,,QIO0,,USB_OVRCURB,,SD1DAT0_A,,,,
P503,5,3,AN117,,,,GTETRGC,GTIOC12B,CTS6_RTS6/SS6,SCK5,,,,,,,,,,,,QIO1,,USB_EXICEN,,SD1DAT1_A,,,,
P504,5,4,AN018,,,,GTETRGD,GTIOC13A,SCK6,CTS5_RTS5/SS5,,,,,,,,,,,,QIO2,,USB_ID,,SD1DAT2_A,,,,
P505,5,5,AN118,IRQ14,,,,GTIOC13B,RXD6/MISO6/SCL6,,,,,,,,,,,,,QIO3,,,,SD1DAT3_A,,,,
P506,5,6,AN019,IRQ15,,,,,TXD6/MOSI6/SDA6,,,,,,,,,,,,,,,,,SD1CD,,,,
-,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P508,5,8,AN020,,,,,GTIOC0B,SCK6,SCK5,,,,,,,,,,,,,,,,SD1DAT3_A,,,,
-,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P511,5,11,,IRQ15,,,,RXD4/MISO4/SCL4,RXD4/MISO4/SCL4,,,SDA2,,,,,,,,,CRX1,,,,,,,,PCKO,
P512,5,12,,IRQ14,,,,TXD4/MOSI4/SDA4,TXD4/MOSI4/SDA4,,,SCL2,,,,,,,,,CTX1,,,,,,,,VSYNC,
-,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P600,6,0,,,,,,GTIOC6B,,SCK9,,,,CLKOUT,CACREF,RD,,,,,,,,,,,,,,
P601,6,1,,,,,,GTIOC6A,,RXD9,,,,,,WR/WR0/DQM00,,,,,,,,,,,,,,
P602,6,2,,,,,,GTIOC7B,,TXD9,,,,,,EBCLK/SDCLK,,,,,,,,,,,,,,
P603,6,3,,,,,,GTIOC7A,,CTS9_RTS9/SS9,,,,,,D13[A13/D13]/DQ13,,,,,,,,,,,,,,
P604,6,4,,,,,,GTIOC8B,,,,,,,,D12[A12/D12]/DQ12,,,,,,,,,,,,,,
P605,6,5,,,,,,GTIOC8A,,,,,,,,D11[A11/D11]/DQ11,,,,,,,,,,,,,,
-,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P608,6,8,,,,,,GTIOC4B,,,,,,,,A00/BC0/DQM1,,,,,,,,,,,,,,
P609,6,9,,,,,,GTIOC5A,,,,,,,,CS1/CKE ,,,,,CTX1,,,,,,,,,
P610,6,10,,,,,,GTIOC5B,,,,,,,,CS0/WE,,,,,CRX1,,,,,,,,,
P611,6,11,,,,,,,CTS7_RTS7/SS7,,,,,,,SDCS,,,,,,,,,,,,,,
P612,6,12,,,,,,,SCK7,,,,,,,D08[A08/D08]/DQ08,,,,,,,,,,,,,,
P613,6,13,,,,,,,TXD7,,,,,,,D09[A09/D09]/DQ09,,,,,,,,,,,,,,
P614,6,14,,,,,,,RXD7,,,,,,,D10[A10/D10]/DQ10,,,,,,,,,,,,,,
-,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P700,7,0,,,,,,GTIOC5A,,,MISOB_C,,,,,,,,,,,,,,,SD1DAT3_B,ET0_ETXD1,RMII0_TXD0_B,PIXD3,
P701,7,1,,,,,,GTIOC5B,,,MOSIB_C,,,,,,,,,,,,,,,SD1DAT2_B,ET0_ETXD0,REF50CK0_B,PIXD2,
P702,7,2,,,,,,GTIOC6A,,,RSPCKB_C,,,,,,,,,,,,,,,SD1DAT1_B,ET0_ERXD1,RMII0_RXD0_B,PIXD1,
P703,7,3,,,,,,GTIOC6B,,,SSLB0_C,,,VCOUT,,,,,,,,,,,,SD1DAT0_B,ET0_ERXD0,RMII0_RXD1_B,PIXD0,
P704,7,4,,,,AGTO0,,,,,SSLB1_C,,,,,,,,,,CTX0,,,,,SD1CLK_B,ET0_RX_CLK,RMII0_RX_ER_B,HSYNC,
P705,7,5,,,,AGTIO0,,,,,SSLB2_C,,,,,,,,,,CRX0,,,,,SD1CMD_B,ET0_CRS,RMII0_CRS_DV_B,PIXCLK,
-,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P708,7,8,,IRQ11,,,,,,RXD1/MISO1/SCL1,SSLA3_B,,,,CACREF,,TS12,,,,,,AUDIO_CLK,,,,ET0_ETXD3,,PCKO,
P709,7,9,,IRQ10,,,,,,TXD1/MOSI1/SDA1,,,,,,,TS13,,,,,,,,,,ET0_ETXD2,,,
P710,7,10,,,,,,,,SCK1,,,,,,,TS14,,,,,,,,,,ET0_TX_ER,,,
P711,7,11,,,,AGTEE0,,,,CTS1_RTS1/SS1,,,,,,,TS15,,,,,,,,,,ET0_TX_CLK,,,
P712,7,12,,,,AGTOB0,,GTIOC2B,,,,,,,,,TS16,,,,,,,,,,,,,
P713,7,13,,,,AGTOA0,,GTIOC2A,,,,,,,,,TS17,,,,,,,,,,,,,
-,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,7,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P800,8,0,,,,,,,,,,,,,,D14[A14/D14]/DQ14,,,,,,,,,,,,,,
P801,8,1,,,,,,,,,,,,,,D15[A15/D15]/DQ15,,,,,,,,,,,,,,
-,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P808,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P809,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P914,9,14,,,,,,,,,,,,,,,,,,,,,,(USB_DP),,,,,,
P915,9,15,,,,,,,,,,,,,,,,,,,,,,(USB_DM),,,,,,
