CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19
P300,3,0,,,TCK/SWCLK,,GTOUUP,GTIOC0A,,,SSLB1,,,,,,,,,,,,,
P301,3,1,,IRQ6,,AGTIO0,GTOULO,GTIOC4B,RXD2/MISO2/SCL2,CTS9_RTS9/SS9,SSLB2,,,,,,TS09,SEG01/COM5,,,,,,
P302,3,2,,IRQ5,,,GTOUUP,GTIOC4A,TXD2/MOSI2/SDA2,,SSLB3,,,,,,TS08,SEG02/COM6,,,,,,
P303,3,3,,,,,,GTIOC7B,,,,,,,,,TS02,SEG03/COM7,,,,,,
P304,3,4,,IRQ9,,,,GTIOC7A,,,,,,,,,TS11,SEG20,,,,,,
P305,3,5,,IRQ8,,,,,,,,,,,,,,SEG19,,,,,,
P306,3,6,,,,,,,,,,,,,,,,SEG18,,,,,,
P307,3,7,,,,,,,,,,,,,,,,SEG17,,,,,,
-,3,8,,,,,,,,,,,,,,,,,,,,,,
-,3,8,,,,,,,,,,,,,,,,,,,,,,
-,3,10,,,,,,,,,,,,,,,,,,,,,,
-,3,11,,,,,,,,,,,,,,,,,,,,,,
-,3,12,,,,,,,,,,,,,,,,,,,,,,
-,3,13,,,,,,,,,,,,,,,,,,,,,,
-,3,14,,,,,,,,,,,,,,,,,,,,,,
-,3,15,,,,,,,,,,,,,,,,,,,,,,
P400,4,0,,IRQ0,,AGTIO1,,GTIOC6A,SCK0,SCK1,,SCL0,,,CACREF,,TS20,SEG04,,,,,AUDIO_CLK,
P401,4,1,,IRQ5,,,GTETRGA,GTIOC6B,CTS0_RTS0/SS0,TXD1/MOSI1/SDA1,,SDA0,,,,,TS19,SEG05,,,,,,
P402,4,2,,IRQ4,,AGTIO0*2/AGTIO1*2,,,,RXD1/MISO1/SCL1,,,,,,,TS18,SEG06,,,,,,
P403,4,3,,,,AGTIO0*2/AGTIO1*,,GTIOC3A,,CTS1_RTS1/SS1,,,,,,,TS17,,,,,,SSIBCK0,
P404,4,4,,,,,,GTIOC3B,,,,,,,,,,,,,,,SSILRCK0/SSIFS0,
P405,4,5,,,,,,GTIOC1A,,,,,,,,,,,,,,,SSITXD0,
P406,4,6,,,,,,GTIOC1B,,,,,,,,,,,,,,,SSIRXD0,
P407,4,7,,,,AGTIO0,,,CTS0_RTS0/SS0,,SSLB3,SDA0,,RTCOUT,ADTRG0,,TS03,SEG11,,,,,,USB_VBUS
P408,4,8,,IRQ7,,,GTOWLO,GTIOC5B,CTS1_RTS1/SS1,RXD9/MISO9/SCL9,,,,,,,TS04,SEG10,,,,,,USB_ID
P409,4,9,,IRQ6,,,GTOWUP,GTIOC5A,,TXD9/MOSI9/SDA9,,,,,,,TS05,SEG09,,,,,,USB_EXICEN
P410,4,10,,IRQ5,,AGTOB1,GTOVLO,GTIOC6B,RXD0/MISO0/SCL0,,MISOA,,,,,,TS06,SEG08,,,,,,
P411,4,11,,IRQ4,,AGTOA1,GTOVUP,GTIOC6A,TXD0/MOSI0/SDA0,,MOSIA,,,,,,TS07,SEG07,,,,,,
P412,4,12,,,,,,,SCK0,,RSPCKA,,,,,,,,,,,,,
P413,4,13,,,,,,,CTS0_RTS0/SS0,,SSLA0,,,,,,,,,,,,,
P414,4,14,,IRQ9,,,,GTIOC0B,,,SSLA1,,,,,,,,,,,,,
P415,4,15,,IRQ8,,,,GTIOC0A,,,SSLA2,,,,,,,,,,,,,
P500,5,0,AN016,,,AGTOA0,GTIU,GTIOC2A,,,,,,,,,,SEG34,,,,,,USB_VBUSEN
P501,5,1,AN017,IRQ11,,AGTOB0,GTIV,GTIOC2B,TXD1/MOSI1/SDA1,,,,,,,,,SEG35,,,,,,USB_OVRCURA
P502,5,2,AN018,IRQ12,,,GTIW,GTIOC3B,RXD1/MISO1/SCL1,,,,,,,,,SEG36,,,,,,USB_OVRCURB
P503,5,3,AN023,,,,,,SCK1,,,,,,,,,SEG37,,,,,,USB_EXICEN
P504,5,4,AN024,,,,,,CTS1_RTS1/SS1,,,,,,,,,,,,,,,USB_ID
P505,5,5,AN025,IRQ14,,,,,,,,,,,,,,,,,,,,
-,5,6,,,,,,,,,,,,,,,,,,,,,,
-,5,7,,,,,,,,,,,,,,,,,,,,,,
-,5,8,,,,,,,,,,,,,,,,,,,,,,
-,5,9,,,,,,,,,,,,,,,,,,,,,,
-,5,10,,,,,,,,,,,,,,,,,,,,,,
-,5,11,,,,,,,,,,,,,,,,,,,,,,
-,5,12,,,,,,,,,,,,,,,,,,,,,,
-,5,13,,,,,,,,,,,,,,,,,,,,,,
-,5,14,,,,,,,,,,,,,,,,,,,,,,
-,5,15,,,,,,,,,,,,,,,,,,,,,,
P600,6,0,,,,,,GTIOC6B,,SCK9,,,,,,,,SEG33,,,,,,
P601,6,1,,,,,,GTIOC6A,,RXD9/MISO9/SCL9,,,,,,,,SEG32,,,,,,
P602,6,2,,,,,,GTIOC7B,,TXD9/MOSI9/SDA9,,,,,,,,SEG31,,,,,,
P603,6,3,,,,,,GTIOC7A,,CTS9_RTS9/SS9,,,,,,,,SEG30,,,,,,
-,6,4,,,,,,,,,,,,,,,,,,,,,,
-,6,5,,,,,,,,,,,,,,,,,,,,,,
-,6,6,,,,,,,,,,,,,,,,,,,,,,
-,6,7,,,,,,,,,,,,,,,,,,,,,,
P608,6,8,,,,,,GTIOC4B,,,,,,,,,,SEG27,,,,,,
P609,6,9,,,,,,GTIOC5A,,,,,,,,,,SEG28,,,,,,
P610,6,10,,,,,,GTIOC5B,,,,,,,,,,SEG29,,,,,,
-,6,11,,,,,,,,,,,,,,,,,,,,,,
-,6,12,,,,,,,,,,,,,,,,,,,,,,
-,6,13,,,,,,,,,,,,,,,,,,,,,,
-,6,14,,,,,,,,,,,,,,,,,,,,,,
-,6,15,,,,,,,,,,,,,,,,,,,,,,
-,7,0,,,,,,,,,,,,,,,,,,,,,,
-,7,1,,,,,,,,,,,,,,,,,,,,,,
-,7,2,,,,,,,,,,,,,,,,,,,,,,
-,7,3,,,,,,,,,,,,,,,,,,,,,,
-,7,4,,,,,,,,,,,,,,,,,,,,,,
-,7,5,,,,,,,,,,,,,,,,,,,,,,
-,7,6,,,,,,,,,,,,,,,,,,,,,,
-,7,7,,,,,,,,,,,,,,,,,,,,,,
P708,7,8,,,,,,,,RXD1/MISO1/SCL1,SSLA3,,,,,,,,,,,,,
-,7,9,,,,,,,,,,,,,,,,,,,,,,
-,7,10,,,,,,,,,,,,,,,,,,,,,,
-,7,11,,,,,,,,,,,,,,,,,,,,,,
-,7,12,,,,,,,,,,,,,,,,,,,,,,
-,7,13,,,,,,,,,,,,,,,,,,,,,,
-,7,14,,,,,,,,,,,,,,,,,,,,,,
-,7,15,,,,,,,,,,,,,,,,,,,,,,
-,8,0,,,,,,,,,,,,,,,,,,,,,,
-,8,1,,,,,,,,,,,,,,,,,,,,,,
-,8,2,,,,,,,,,,,,,,,,,,,,,,
-,8,3,,,,,,,,,,,,,,,,,,,,,,
-,8,4,,,,,,,,,,,,,,,,,,,,,,
-,8,5,,,,,,,,,,,,,,,,,,,,,,
-,8,6,,,,,,,,,,,,,,,,,,,,,,
-,8,7,,,,,,,,,,,,,,,,,,,,,,
P808,8,8,,,,,,,,,,,,,,,,SEG21,,,,,,
P809,8,9,,,,,,,,,,,,,,,,SEG22,,,,,,
-,8,10,,,,,,,,,,,,,,,,,,,,,,
-,8,11,,,,,,,,,,,,,,,,,,,,,,
-,8,12,,,,,,,,,,,,,,,,,,,,,,
-,8,13,,,,,,,,,,,,,,,,,,,,,,
-,8,14,,,,,,,,,,,,,,,,,,,,,,
-,8,15,,,,,,,,,,,,,,,,,,,,,,
-,9,0,,,,,,,,,,,,,,,,,,,,,,
-,9,1,,,,,,,,,,,,,,,,,,,,,,
-,9,2,,,,,,,,,,,,,,,,,,,,,,
-,9,3,,,,,,,,,,,,,,,,,,,,,,
-,9,4,,,,,,,,,,,,,,,,,,,,,,
-,9,5,,,,,,,,,,,,,,,,,,,,,,
-,9,6,,,,,,,,,,,,,,,,,,,,,,
-,9,7,,,,,,,,,,,,,,,,,,,,,,
-,9,8,,,,,,,,,,,,,,,,,,,,,,
-,9,9,,,,,,,,,,,,,,,,,,,,,,
-,9,10,,,,,,,,,,,,,,,,,,,,,,
-,9,11,,,,,,,,,,,,,,,,,,,,,,
-,9,12,,,,,,,,,,,,,,,,,,,,,,
-,9,13,,,,,,,,,,,,,,,,,,,,,,
P914,9,14,,,,,,,,,,,,,,,,,,,,,,(USB_DP)
P915,9,14,,,,,,,,,,,,,,,,,,,,,,(USB_DM)
