CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19
P212,2,12,,IRQ3,,AGTEE1,GTETRGB,GTIOC0B,,RXD1/MISO1/SCL1,,,,,,,,,,,,,,
P213,2,13,,IRQ2,,,GTETRGA,GTIOC0A,,TXD1/MOSI1/SDA1,,,,,,,,,,,,,,
P214,2,14,,,,,,,,,,,,,,,,,,,,,,
P215,2,15,,,,,,,,,,,,,,,,,,,,,,
P300,3,0,,,TCK/SWCLK,,GTOUUP,GTIOC0A,,,SSLB1,,,,,,,,,,,,,
-,3,1,,,,,,,,,,,,,,,,,,,,,,
-,3,2,,,,,,,,,,,,,,,,,,,,,,
-,3,3,,,,,,,,,,,,,,,,,,,,,,
-,3,4,,,,,,,,,,,,,,,,,,,,,,
-,3,5,,,,,,,,,,,,,,,,,,,,,,
-,3,6,,,,,,,,,,,,,,,,,,,,,,
-,3,7,,,,,,,,,,,,,,,,,,,,,,
-,3,8,,, ,, , ,,, ,,,,,,,,,,,,,
-,3,9,,,,,,,,,,,,,,,,,,,,,,
-,3,10,,,,,,,,,,,,,,,,,,,,,,
-,3,11,,,,,,,,,,,,,,,,,,,,,,
-,3,12,,,,,,,,,,,,,,,,,,,,,,
-,3,13,,,,,,,,,,,,,,,,,,,,,,
-,3,14,,,,,,,,,,,,,,,,,,,,,,
-,3,15,,,,,,,,,,,,,,,,,,,,,,
-,4,0,,,,,,,,,,,,,,,,,,,,,,
-,4,1,,,,,,,,,,,,,,,,,,,,,,
P402,4,2,,IRQ4,,AGTIO0*2/AGTIO1*2,,,,RXD1/MISO1/SCL1,,,,,,,TS18,SEG06,,,,,,
-,4,3,,,,,,,,,,,,,,,,,,,,,,
P404,4,4,,,,,,GTIOC3B,,,,,,,,,,,,,,,SSILRCK0/SSIFS0,
-,4,5,,,,,,,,,,,,,,,,,,,,,,
-,4,6,,,,,,,,,,,,,,,,,,,,,,
P407,4,7,,,,AGTIO0,,,CTS4_RTS4/SS4,,SSLB3,SDA0,,RTCOUT,ADTRG0,,TS03,SEG11,,,,,,USB_VBUS
-,4,8,,,,,,,,,,,,,,,,,,,,,,
P409,4,9,,IRQ6,,,GTOWUP,GTIOC5A,,,,,,,,,,SEG09,,,,,,
-,4,10,,,,,,,,,,,,,,,,,,,,,,
-,4,11,,,,,,,,,,,,,,,,,,,,,,
-,4,12,,,,,,,,,,,,,,,,,,,,,,
-,4,13,,,,,,,,,,,,,,,,,,,,,,
P414,4,14,,IRQ9,,,,GTIOC0B,,,SSLA1,,,,,,,,,,,,,
-,4,15,,,,,,,,,,,,,,,,,,,,,,
-,5,0,,,,,,,,,,,,,,,,,,,,,,
P501,5,1,AN017,IRQ11,,AGTOB0,GTIV,GTIOC2B,,,,,,,,,,SEG49,,,,,,
-,5,2,,,,,,,,,,,,,,,,,,,,,,
-,5,3,,,,,,,,,,,,,,,,,,,,,,
-,5,4,,,,,,,,,,,,,,,,,,,,,,
-,5,5,,,,,,,,,,,,,,,,,,,,,,
-,5,6,,,,,,,,,,,,,,,,,,,,,,
-,5,7,,,,,,,,,,,,,,,,,,,,,,
-,5,8,,,,,,,,,,,,,,,,,,,,,,
-,5,9,,,,,,,,,,,,,,,,,,,,,,
-,5,10,,,,,,,,,,,,,,,,,,,,,,
-,5,11,,,,,,,,,,,,,,,,,,,,,,
-,5,12,,,,,,,,,,,,,,,,,,,,,,
-,5,13,,,,,,,,,,,,,,,,,,,,,,
-,5,14,,,,,,,,,,,,,,,,,,,,,,
-,5,15,,,,,,,,,,,,,,,,,,,,,,
-,6,0,,,,,,,,,,,,,,,,,,,,,,
-,6,1,,,,,,,,,,,,,,,,,,,,,,
-,6,2,,,,,,,,,,,,,,,,,,,,,,
-,6,3,,,,,,,,,,,,,,,,,,,,,,
-,6,4,,,,,,,,,,,,,,,,,,,,,,
-,6,5,,,,,,,,,,,,,,,,,,,,,,
-,6,6,,,,,,,,,,,,,,,,,,,,,,
-,6,7,,,,,,,,,,,,,,,,,,,,,,
-,6,8,,,,,,,,,,,,,,,,,,,,,,
-,6,9,,,,,,,,,,,,,,,,,,,,,,
-,6,10,,,,,,,,,,,,,,,,,,,,,,
-,6,11,,,,,,,,,,,,,,,,,,,,,,
-,6,12,,,,,,,,,,,,,,,,,,,,,,
-,6,13,,,,,,,,,,,,,,,,,,,,,,
-,6,14,,,,,,,,,,,,,,,,,,,,,,
-,6,15,,,,,,,,,,,,,,,,,,,,,,
-,7,0,,,,,,,,,,,,,,,,,,,,,,
-,7,1,,,,,,,,,,,,,,,,,,,,,,
-,7,2,,,,,,,,,,,,,,,,,,,,,,
-,7,3,,,,,,,,,,,,,,,,,,,,,,
-,7,4,,,,,,,,,,,,,,,,,,,,,,
-,7,5,,,,,,,,,,,,,,,,,,,,,,
-,7,6,,,,,,,,,,,,,,,,,,,,,,
-,7,7,,,,,,,,,,,,,,,,,,,,,,
-,7,8,,,,,,,,,,,,,,,,,,,,,,
-,7,9,,,,,,,,,,,,,,,,,,,,,,
-,7,10,,,,,,,,,,,,,,,,,,,,,,
-,7,11,,,,,,,,,,,,,,,,,,,,,,
-,7,12,,,,,,,,,,,,,,,,,,,,,,
-,7,13,,,,,,,,,,,,,,,,,,,,,,
-,7,14,,,,,,,,,,,,,,,,,,,,,,
-,7,15,,,,,,,,,,,,,,,,,,,,,,
-,8,0,,,,,,,,,,,,,,,,,,,,,,
-,8,1,,,,,,,,,,,,,,,,,,,,,,
-,8,2,,,,,,,,,,,,,,,,,,,,,,
-,8,3,,,,,,,,,,,,,,,,,,,,,,
-,8,4,,,,,,,,,,,,,,,,,,,,,,
-,8,5,,,,,,,,,,,,,,,,,,,,,,
-,8,6,,,,,,,,,,,,,,,,,,,,,,
-,8,7,,,,,,,,,,,,,,,,,,,,,,
-,8,8,,,,,,,,,,,,,,,,,,,,,,
-,8,9,,,,,,,,,,,,,,,,,,,,,,
-,8,10,,,,,,,,,,,,,,,,,,,,,,
-,8,11,,,,,,,,,,,,,,,,,,,,,,
-,8,12,,,,,,,,,,,,,,,,,,,,,,
-,8,13,,,,,,,,,,,,,,,,,,,,,,
-,8,14,,,,,,,,,,,,,,,,,,,,,,
-,8,15,,,,,,,,,,,,,,,,,,,,,,
-,9,0,,,,,,,,,,,,,,,,,,,,,,
-,9,1,,,,,,,,,,,,,,,,,,,,,,
-,9,2,,,,,,,,,,,,,,,,,,,,,,
-,9,3,,,,,,,,,,,,,,,,,,,,,,
-,9,4,,,,,,,,,,,,,,,,,,,,,,
-,9,5,,,,,,,,,,,,,,,,,,,,,,
-,9,6,,,,,,,,,,,,,,,,,,,,,,
-,9,7,,,,,,,,,,,,,,,,,,,,,,
-,9,8,,,,,,,,,,,,,,,,,,,,,,
-,9,9,,,,,,,,,,,,,,,,,,,,,,
-,9,10,,,,,,,,,,,,,,,,,,,,,,
-,9,11,,,,,,,,,,,,,,,,,,,,,,
-,9,12,,,,,,,,,,,,,,,,,,,,,,
-,9,13,,,,,,,,,,,,,,,,,,,,,,
P914,9,14,,,,,,,,,,,,,,,,,,,,,,(USB_DP)
P915,9,15,,,,,,,,,,,,,,,,,,,,,,(USB_DM)
