"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"P206","42","","","","Disabled","","","BUS0: WAIT
CTSU0: TS01
ETHERC0: LINKSTA
ETHERC0: LINKSTA
IIC1: SDA
IRQ0: IRQ00
OPS0: GTIU
SCI4: RXD_MISO
SCI4: SCL
SDHI0: DAT2
SPI1: SSL1
SSI0: SSIDATA
USBFS0: VBUSEN"
"P207","41","CTSU0_TS02","Low","","Peripheral mode","CMOS","None","BUS0: A17
CTSU0: TS02
QSPI0: QSSL
SPI1: SSL2"
"P208","54","","","","Disabled","","","BUS0: CS4
ETHERC0: LINKSTA
ETHERC0: LINKSTA
OPS0: GTOVLO
QSPI0: QIO3
SDHI0: DAT0
TRACE0: TDATA3"
"P209","53","","","","Disabled","","","BUS0: CS5
ETHERC0: EXOUT
ETHERC0: EXOUT
OPS0: GTOVUP
QSPI0: QIO2
SDHI0: WP
TRACE0: TDATA2"
"P210","52","","","","Disabled","","","BUS0: CS6
ETHERC0: WOL
ETHERC0: WOL
OPS0: GTIW
QSPI0: QIO1
SDHI0: CD
TRACE0: TDATA1"
"P211","51","","","","Disabled","","","BUS0: CS7
ETHERC0: MDIO
ETHERC0: MDIO
OPS0: GTIV
QSPI0: QIO0
SDHI0: CMD
TRACE0: TDATA0"
"P212","20","","","","Disabled","","","AGT1: AGTEE
CGC0: EXTAL
GPT0: GTIOCB
IRQ0: IRQ03
POEG3: GTETRG
SCI1: RXD_MISO
SCI1: SCL"
"P213","19","","","","Disabled","","","ADC1: ADTRG
CGC0: XTAL
GPT0: GTIOCA
IRQ0: IRQ02
POEG2: GTETRG
SCI1: SDA
SCI1: TXD_MOSI"
"P214","50","","","","Disabled","","","ETHERC0: MDC
ETHERC0: MDC
OPS0: GTIU
QSPI0: QSPCLK
SDHI0: CLK
TRACE0: TCLK"
"P300","72","DEBUG0_TCK","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT0: GTIOCA
OPS0: GTOUUP
SPI1: SSL1"
"P301","71","","","","Disabled","","","AGT0: AGTIO
BUS0: A06
GPT4: GTIOCB
IRQ0: IRQ06
OPS0: GTOULO
SCI2: RXD_MISO
SCI2: SCL
SCI9: CTS_RTS_SS
SPI1: SSL2"
"P302","70","","","","Disabled","","","BUS0: A07
GPT4: GTIOCA
IRQ0: IRQ05
OPS0: GTOUUP
SCI2: SDA
SCI2: TXD_MOSI
SPI1: SSL3"
"P303","69","","","","Disabled","","","BUS0: A08
GPT7: GTIOCB"
"P304","66","","","","Disabled","","","BUS0: A09
GPT7: GTIOCA
IRQ0: IRQ09
OPS0: GTOWLO
SCI6: RXD_MISO
SCI6: SCL"
"P305","65","","","","Disabled","","","BUS0: A10
IRQ0: IRQ08
OPS0: GTOWUP
QSPI0: QSPCLK
SCI6: SDA
SCI6: TXD_MOSI"
"P306","64","","","","Disabled","","","BUS0: A11
OPS0: GTOULO
QSPI0: QSSL
SCI6: SCK"
"P307","63","","","","Disabled","","","BUS0: A12
OPS0: GTOUUP
QSPI0: QIO0
SCI6: CTS_RTS_SS"
"P308","62","","","","Disabled","","","BUS0: A13
QSPI0: QIO1"
"P309","61","","","","Disabled","","","BUS0: A14
QSPI0: QIO2
SCI3: RXD_MISO
SCI3: SCL"
"P310","60","","","","Disabled","","","AGT1: AGTEE
BUS0: A15
QSPI0: QIO3
SCI3: SDA
SCI3: TXD_MOSI"
"P311","59","","","","Disabled","","","AGT1: AGTOB
BUS0: CS2_RAS
SCI3: SCK"
"P312","58","","","","Disabled","","","AGT1: AGTOA
BUS0: CS3_CAS
SCI3: CTS_RTS_SS"
"P313","47","","","","Disabled","","","BUS0: A20
ETHERC0: ERXD3
SDHI0: DAT7"
"P400","1","GPIO","Low","None","Output mode (Initial Low)","CMOS","None","ADC1: ADTRG
AGT1: AGTIO
ETHERC0: WOL
ETHERC0: WOL
GPT6: GTIOCA
IIC0: SCL
IRQ0: IRQ00
SCI4: SCK
SCI7: SCK
SSI: AUDIO_CLK"
"P401","2","SCI7_TXD_MOSI","Low","None","Peripheral mode","CMOS","None","CAN0: CTX
ETHERC0: MDC
ETHERC0: MDC
GPT6: GTIOCB
IIC0: SDA
IRQ0: IRQ05
POEG0: GTETRG
SCI4: CTS_RTS_SS
SCI7: SDA
SCI7: TXD_MOSI"
"P402","3","SCI7_RXD_MISO","Low","None","Peripheral mode","CMOS","None","AGT0: AGTIO
AGT1: AGTIO
CAC0: CACREF
CAN0: CRX
ETHERC0: MDIO
ETHERC0: MDIO
IRQ0: IRQ04
PDC0: VSYNC
RTC0: RTCIC0
SCI7: RXD_MISO
SCI7: SCL
SSI: AUDIO_CLK"
"P403","4","","","","Disabled","","","AGT0: AGTIO
AGT1: AGTIO
ETHERC0: LINKSTA
ETHERC0: LINKSTA
GPT3: GTIOCA
PDC0: PIXD7
RTC0: RTCIC1
SCI7: CTS_RTS_SS
SDHI1: DAT7
SSI0: SSISCK"
"P404","5","","","","Disabled","","","ETHERC0: EXOUT
ETHERC0: EXOUT
GPT3: GTIOCB
PDC0: PIXD6
RTC0: RTCIC2
SDHI1: DAT6
SSI0: SSIWS"
"P405","6","","","","Disabled","","","ETHERC0: TX_EN
ETHERC0: TXD_EN
GPT1: GTIOCA
PDC0: PIXD5
SDHI1: DAT5
SSI0: SSITXD"
"P406","7","","","","Disabled","","","ETHERC0: RX_ER
ETHERC0: TXD1
GPT1: GTIOCB
PDC0: PIXD4
SDHI1: DAT4
SPI1: SSL3
SSI0: SSIRXD"
"P407","36","USBFS0_VBUS","Low","","Peripheral mode","CMOS","None","ADC0: ADTRG
AGT0: AGTIO
CTSU0: TS03
ETHERC0: EXOUT
ETHERC0: EXOUT
IIC0: SDA
RTC0: RTCOUT
SCI4: CTS_RTS_SS
SPI1: SSL3
USBFS0: VBUS"
"P408","35","","","","Disabled","","","CTSU0: TS04
ETHERC0: CRS
ETHERC0: CRS_DV
GPT10: GTIOCB
IIC0: SCL
IRQ0: IRQ07
OPS0: GTOWLO
PDC0: PIXCLK
SCI3: RXD_MISO
SCI3: SCL
USBFS0: ID"
"P409","34","","","","Disabled","","","CTSU0: TS05
ETHERC0: RX_CLK
ETHERC0: RX_ER
GPT10: GTIOCA
IRQ0: IRQ06
OPS0: GTOWUP
PDC0: HSYNC
SCI3: SDA
SCI3: TXD_MOSI
USBFS0: EXICEN"
"P410","33","SCI0_RXD_MISO","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOB
CTSU0: TS06
ETHERC0: ERXD0
ETHERC0: RXD1
GPT9: GTIOCB
IRQ0: IRQ05
OPS0: GTOVLO
PDC0: PIXD0
SCI0: RXD_MISO
SCI0: SCL
SCI3: SCK
SDHI0: DAT1
SPI0: MISO"
"P411","32","SCI0_TXD_MOSI","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOA
CTSU0: TS07
ETHERC0: ERXD1
ETHERC0: RXD0
GPT9: GTIOCA
IRQ0: IRQ04
OPS0: GTOVUP
PDC0: PIXD1
SCI0: SDA
SCI0: TXD_MOSI
SCI3: CTS_RTS_SS
SDHI0: DAT0
SPI0: MOSI"
"P412","31","","","","Disabled","","","AGT1: AGTEE
CTSU0: TS08
ETHERC0: ETXD0
ETHERC0: REF50CK
OPS0: GTOULO
PDC0: PIXD2
SCI0: SCK
SDHI0: CMD
SPI0: RSPCK"
"P413","30","","","","Disabled","","","CTSU0: TS09
ETHERC0: ETXD1
ETHERC0: TXD0
OPS0: GTOUUP
PDC0: PIXD3
SCI0: CTS_RTS_SS
SDHI0: CLK
SPI0: SSL0"
"P414","29","","","","Disabled","","","CTSU0: TS10
ETHERC0: RX_ER
ETHERC0: TXD1
GPT0: GTIOCB
IRQ0: IRQ09
PDC0: PIXD4
SDHI0: WP
SPI0: SSL1"
"P415","28","","","","Disabled","","","CTSU0: TS11
ETHERC0: TX_EN
ETHERC0: TXD_EN
GPT0: GTIOCA
IRQ0: IRQ08
PDC0: PIXD5
SDHI0: CD
SPI0: SSL2
USBFS0: VBUSEN"
"P500","113","","","","Disabled","","","ADC0: AN16
AGT0: AGTOA
CMP0: IVREF0
GPT11: GTIOCA
OPS0: GTIU
QSPI0: QSPCLK
SDHI1: CLK
USBFS0: VBUSEN"
"P501","114","","","","Disabled","","","ADC1: AN16
AGT0: AGTOB
CMP0: IVREF1
GPT11: GTIOCB
IRQ0: IRQ11
OPS0: GTIV
QSPI0: QSSL
SCI5: SDA
SCI5: TXD_MOSI
SDHI1: CMD
USBFS0: OVRCURA"
"P502","115","","","","Disabled","","","ADC0: AN17
CMP0: IVCMP0
GPT12: GTIOCA
IRQ0: IRQ12
OPS0: GTIW
QSPI0: QIO0
SCI5: RXD_MISO
SCI5: SCL
SDHI1: DAT0
USBFS0: OVRCURB"
"P503","116","","","","Disabled","","","ADC1: AN17
GPT12: GTIOCB
POEG2: GTETRG
QSPI0: QIO1
SCI5: SCK
SCI6: CTS_RTS_SS
SDHI1: DAT1
USBFS0: EXICEN"
"P504","117","","","","Disabled","","","ADC0: AN18
BUS0: ALE
GPT13: GTIOCA
POEG3: GTETRG
QSPI0: QIO2
SCI5: CTS_RTS_SS
SCI6: SCK
SDHI1: DAT2
USBFS0: ID"
"P505","118","","","","Disabled","","","ADC1: AN18
GPT13: GTIOCB
IRQ0: IRQ14
QSPI0: QIO3
SCI6: RXD_MISO
SCI6: SCL
SDHI1: DAT3"
"P506","119","","","","Disabled","","","ADC0: AN19
IRQ0: IRQ15
SCI6: SDA
SCI6: TXD_MOSI
SDHI1: CD"
"P508","120","","","","Disabled","","","ADC0: AN20
SCI5: SCK
SCI6: SCK
SDHI1: DAT3"
"P511","144","IIC2_SDA","Medium","None","Peripheral mode","CMOS","None","CAN1: CRX
GPT0: GTIOCB
IIC2: SDA
IRQ0: IRQ15
PDC0: PCKO
SCI4: RXD_MISO
SCI4: SCL"
"P512","143","IIC2_SCL","Medium","None","Peripheral mode","CMOS","None","CAN1: CTX
GPT0: GTIOCA
IIC2: SCL
IRQ0: IRQ14
PDC0: VSYNC
SCI4: SDA
SCI4: TXD_MOSI"
"P600","98","","","","Disabled","","","BUS0: RD
CAC0: CACREF
CGC0: CLKOUT
GPT6: GTIOCB
SCI9: SCK"
"P601","97","SCI9_RXD_MISO","Low","","Peripheral mode","CMOS","None","BUS0: WR_WR0_DQM0
GPT6: GTIOCA
SCI9: RXD_MISO
SCI9: SCL"
"P602","96","SCI9_TXD_MOSI","Low","","Peripheral mode","CMOS","None","BUS0: BCLK_SDCLK
GPT7: GTIOCB
SCI9: SDA
SCI9: TXD_MOSI"
"P603","95","","","","Disabled","","","BUS0: D13_DQ13
GPT7: GTIOCA
SCI9: CTS_RTS_SS"
"P604","94","","","","Disabled","","","BUS0: D12_DQ12
GPT8: GTIOCB"
"P605","93","","","","Disabled","","","BUS0: D11_DQ11
GPT8: GTIOCA"
"P608","83","","","","Disabled","","","BUS0: A00_BC0_DQM1
GPT4: GTIOCB"
"P609","84","","","","Disabled","","","BUS0: CS1_CKE
CAN1: CTX
GPT5: GTIOCA"
"P610","85","","","","Disabled","","","BUS0: CS0_WE
CAN1: CRX
GPT5: GTIOCB"
"P611","86","","","","Disabled","","","BUS0: SDCS
CAC0: CACREF
CGC0: CLKOUT
SCI7: CTS_RTS_SS"
"P612","87","","","","Disabled","","","BUS0: D8_DQ8
SCI7: SCK"
"P613","88","","","","Disabled","","","BUS0: D9_DQ9
SCI7: SDA
SCI7: TXD_MOSI"
"P614","89","","","","Disabled","","","BUS0: D10_DQ10
SCI7: RXD_MISO
SCI7: SCL"
"P700","8","SPI1_MISO","Low","","Peripheral mode","CMOS","None","ETHERC0: ETXD1
ETHERC0: TXD0
GPT5: GTIOCA
PDC0: PIXD3
SDHI1: DAT3
SPI1: MISO"
"P701","9","SPI1_MOSI","Low","","Peripheral mode","CMOS","None","ETHERC0: ETXD0
ETHERC0: REF50CK
GPT5: GTIOCB
PDC0: PIXD2
SDHI1: DAT2
SPI1: MOSI"
"P702","10","SPI1_RSPCK","Low","","Peripheral mode","CMOS","None","ETHERC0: ERXD1
ETHERC0: RXD0
GPT6: GTIOCA
PDC0: PIXD1
SDHI1: DAT1
SPI1: RSPCK"
"P703","11","SPI1_SSL0","Low","","Peripheral mode","CMOS","None","CMP0: VCOUT
ETHERC0: ERXD0
ETHERC0: RXD1
GPT6: GTIOCB
PDC0: PIXD0
SDHI1: DAT0
SPI1: SSL0"
"P704","12","","","","Disabled","","","AGT0: AGTO
CAN0: CTX
ETHERC0: RX_CLK
ETHERC0: RX_ER
PDC0: HSYNC
SDHI1: CLK
SPI1: SSL1"
"P705","13","","","","Disabled","","","AGT0: AGTIO
CAN0: CRX
ETHERC0: CRS
ETHERC0: CRS_DV
PDC0: PIXCLK
SDHI1: CMD
SPI1: SSL2"
"P708","27","","","","Disabled","","","CAC0: CACREF
CTSU0: TS12
ETHERC0: ETXD3
IRQ0: IRQ11
PDC0: PCKO
SCI1: RXD_MISO
SCI1: SCL
SPI0: SSL3
SSI: AUDIO_CLK"
"P709","26","","","","Disabled","","","CTSU0: TS13
ETHERC0: ETXD2
IRQ0: IRQ10
SCI1: SDA
SCI1: TXD_MOSI"
"P710","25","","","","Disabled","","","CTSU0: TS14
ETHERC0: TX_ER
SCI1: SCK"
"P711","24","","","","Disabled","","","AGT0: AGTEE
CTSU0: TS15
ETHERC0: TX_CLK
SCI1: CTS_RTS_SS"
"P712","23","","","","Disabled","","","AGT0: AGTOB
CTSU0: TS16
GPT2: GTIOCB"
"P713","22","","","","Disabled","","","AGT0: AGTOA
CTSU0: TS17
GPT2: GTIOCA"
"P800","109","","","","Disabled","","","BUS0: D14_DQ14"
"P801","110","","","","Disabled","","","BUS0: D15_DQ15"
"RES","55","","","","","","",""
"USBDM","38","USBFS0_USBDM","","","","","",""
"USBDP","39","USBFS0_USBDP","","","","","",""
"VBAT","14","","","","","","",""
"VCC","99","","","","","","",""
"VCC","121","","","","","","",""
"VCC","111","","","","","","",""
"VCC","68","","","","","","",""
"VCC","49","","","","","","",""
"VCC","90","","","","","","",""
"VCC","81","","","","","","",""
"VCC","21","","","","","","",""
"VCC","142","","","","","","",""
"VCCUSB","40","USBFS0_VCCUSB","","","","","",""
"VCL","15","","","","","","",""
"VCL1","92","","","","","","",""
"VREFH","126","ADC_VREFH","","","","","",""
"VREFH0","130","ADC_VREFH0","","","","","",""
"VREFL","125","ADC_VREFL","","","","","",""
"VREFL0","129","ADC_VREFL0","","","","","",""
"VSS","122","","","","","","",""
"VSS","67","","","","","","",""
"VSS","100","","","","","","",""
"VSS","112","","","","","","",""
"VSS","48","","","","","","",""
"VSS","18","","","","","","",""
"VSS","91","","","","","","",""
"VSS","82","","","","","","",""
"VSS","141","","","","","","",""
"VSSUSB","37","USBFS0_VSSUSB","","","","","",""
"XCIN","16","CGC0_XCIN","","","","","",""
"XCOUT","17","CGC0_XCOUT","","","","","",""
