"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"P104","44","","","","Disabled","","","CTSU0: TS13
GPT1: GTIOCB
IRQ0: IRQ01
KINT0: KRM4
POEG1: GTETRG
SCI0: RXD_MISO
SCI0: SCL
SLCDC0: COM0
SPI0: SSL1"
"P105","43","","","","Disabled","","","CTSU0: TS34
GPT1: GTIOCA
IRQ0: IRQ00
KINT0: KRM5
POEG0: GTETRG
SLCDC0: COM1
SPI0: SSL2"
"P106","42","","","","Disabled","","","GPT0: GTIOCB
KINT0: KRM6
SLCDC0: COM2
SPI0: SSL3"
"P107","41","","","","Disabled","","","GPT0: GTIOCA
KINT0: KRM7
SLCDC0: COM3"
"P108","33","DEBUG0_TMS","Low","","Peripheral mode","CMOS","None","DEBUG0: SWDIO
DEBUG0: TMS
GPT0: GTIOCB
OPS0: GTOULO
SCI9: CTS_RTS_SS
SPI1: SSL0"
"P109","34","DEBUG0_TDO","Low","","Peripheral mode","CMOS","None","CAN0: CTX
CGC0: CLKOUT
CTSU0: TS10
DEBUG0: SWO
DEBUG0: TDO
GPT1: GTIOCA
OPS0: GTOVUP
SCI1: SCK
SCI9: SDA
SCI9: TXD_MOSI
SLCDC0: SEG23
SPI1: MOSI"
"P110","35","DEBUG0_TDI","Low","None","Peripheral mode","CMOS","None","CAN0: CRX
CMP0: VCOUT
DEBUG0: TDI
GPT1: GTIOCB
IRQ0: IRQ03
OPS0: GTOVLO
SCI2: CTS_RTS_SS
SCI9: RXD_MISO
SCI9: SCL
SLCDC0: SEG24
SPI1: MISO"
"P111","36","","","","Disabled","","","CTSU0: TS12
GPT3: GTIOCA
IRQ0: IRQ04
SCI2: SCK
SCI9: SCK
SLCDC0: CAPH
SPI1: RSPCK"
"P112","37","","","","Disabled","","","CTSU0: TSCAP
GPT3: GTIOCB
SCI1: SCK
SCI2: SDA
SCI2: TXD_MOSI
SLCDC0: CAPL
SPI1: SSL0"
"P113","38","","","","Disabled","","","CTSU0: TS27
GPT2: GTIOCA
SLCDC0: COM4
SLCDC0: SEG00"
"P200","27","","","","Disabled","","","IRQ0: NMI"
"P201","26","","","","Disabled","","",""
"P204","24","","","","Disabled","","","AGT1: AGTIO
CAC0: CACREF
CTSU0: TS00
GPT4: GTIOCB
IIC0: SCL
OPS0: GTIW
SCI0: SCK
SCI9: SCK
SLCDC0: SEG14
SPI1: RSPCK
USBFS0: OVRCURB"
"P205","23","","","","Disabled","","","AGT1: AGTO
CGC0: CLKOUT
CTSU0: TSCAP
GPT4: GTIOCA
IIC1: SCL
IRQ0: IRQ01
OPS0: GTIV
SCI0: SDA
SCI0: TXD_MOSI
SCI9: CTS_RTS_SS
SLCDC0: SEG13
SPI1: SSL0
USBFS0: OVRCURA"
"P206","22","","","","Disabled","","","CTSU0: TS01
IIC1: SDA
IRQ0: IRQ00
OPS0: GTIU
SCI0: RXD_MISO
SCI0: SCL
SLCDC0: SEG12
SPI1: SSL1
USBFS0: VBUSEN"
"P212","10","","","","Disabled","","","AGT1: AGTEE
CGC0: EXTAL
GPT0: GTIOCB
IRQ0: IRQ03
POEG1: GTETRG
SCI1: RXD_MISO
SCI1: SCL"
"P213","9","","","","Disabled","","","CGC0: XTAL
GPT0: GTIOCA
IRQ0: IRQ02
POEG0: GTETRG
SCI1: SDA
SCI1: TXD_MOSI"
"P214","7","","","","Disabled","","","CGC0: XCOUT"
"P215","6","","","","Disabled","","","CGC0: XCIN"
"P300","32","DEBUG0_TCK","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT0: GTIOCA
OPS0: GTOUUP
SPI1: SSL1"
"P301","31","GPIO","","IRQ6","Input mode","","None","AGT0: AGTIO
CTSU0: TS09
GPT4: GTIOCB
IRQ0: IRQ06
OPS0: GTOULO
SCI2: RXD_MISO
SCI2: SCL
SCI9: CTS_RTS_SS
SLCDC0: COM5
SLCDC0: SEG01
SPI1: SSL2"
"P302","30","GPIO","","IRQ5","Input mode","","None","CTSU0: TS08
GPT4: GTIOCA
IRQ0: IRQ05
OPS0: GTOUUP
SCI2: SDA
SCI2: TXD_MOSI
SLCDC0: COM6
SLCDC0: SEG02
SPI1: SSL3"
"P303","29","","","","Disabled","","","CTSU0: TS02
GPT7: GTIOCB
SLCDC0: COM7
SLCDC0: SEG03"
"P304","28","GPIO","","IRQ9","Input mode","","None","CTSU0: TS11
GPT7: GTIOCA
IRQ0: IRQ09
SLCDC0: SEG20"
"P400","1","","","","Disabled","","","AGT1: AGTIO
CAC0: CACREF
CTSU0: TS20
GPT6: GTIOCA
IIC0: SCL
IRQ0: IRQ00
SCI0: SCK
SCI1: SCK
SLCDC0: SEG04
SSI: AUDIO_CLK"
"P401","2","SCI1_TXD_MOSI","Low","None","Peripheral mode","CMOS","None","CAN0: CTX
CTSU0: TS19
GPT6: GTIOCB
IIC0: SDA
IRQ0: IRQ05
POEG0: GTETRG
SCI0: CTS_RTS_SS
SCI1: SDA
SCI1: TXD_MOSI
SLCDC0: SEG05"
"P402","3","SCI1_RXD_MISO","Low","None","Peripheral mode","CMOS","None","AGT0: AGTIO
AGT1: AGTIO
CAN0: CRX
CTSU0: TS18
IRQ0: IRQ04
RTC0: RTCIC0
SCI1: RXD_MISO
SCI1: SCL
SLCDC0: SEG06"
"P407","16","","","","Disabled","","","ADC0: ADTRG
AGT0: AGTIO
CTSU0: TS03
IIC0: SDA
RTC0: RTCOUT
SCI0: CTS_RTS_SS
SLCDC0: SEG11
SPI1: SSL3
USBFS0: VBUS"
"P408","15","GPIO","Low","None","Output mode (Initial Low)","CMOS","None","CTSU0: TS04
GPT5: GTIOCB
IIC0: SCL
IRQ0: IRQ07
OPS0: GTOWLO
SCI1: CTS_RTS_SS
SCI9: RXD_MISO
SCI9: SCL
SLCDC0: SEG10
USBFS0: ID"
"P409","14","GPIO","Low","None","Output mode (Initial Low)","CMOS","None","CTSU0: TS05
GPT5: GTIOCA
IRQ0: IRQ06
OPS0: GTOWUP
SCI9: SDA
SCI9: TXD_MOSI
SLCDC0: SEG09
USBFS0: EXICEN"
"P410","13","SCI0_RXD_MISO","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOB
CTSU0: TS06
GPT6: GTIOCB
IRQ0: IRQ05
OPS0: GTOVLO
SCI0: RXD_MISO
SCI0: SCL
SLCDC0: SEG08
SPI0: MISO"
"P411","12","SCI0_TXD_MOSI","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOA
CTSU0: TS07
GPT6: GTIOCA
IRQ0: IRQ04
OPS0: GTOVUP
SCI0: SDA
SCI0: TXD_MOSI
SLCDC0: SEG07
SPI0: MOSI"
"P500","49","","","","Disabled","","","ADC0: AN16
AGT0: AGTOA
CMP0: CMPREF1
GPT2: GTIOCA
OPS0: GTIU
SLCDC0: SEG34
USBFS0: VBUSEN"
"P501","50","","","","Disabled","","","ADC0: AN17
AGT0: AGTOB
CMP0: CMPIN1
GPT2: GTIOCB
IRQ0: IRQ11
OPS0: GTIV
SCI1: SDA
SCI1: TXD_MOSI
SLCDC0: SEG35
USBFS0: OVRCURA"
"P502","51","","","","Disabled","","","ADC0: AN18
CMP0: CMPREF0
GPT3: GTIOCB
IRQ0: IRQ12
OPS0: GTIW
SCI1: RXD_MISO
SCI1: SCL
SLCDC0: SEG36
USBFS0: OVRCURB"
"P914","19","","","","Disabled","","","USBFS0: USBDP"
"P915","18","","","","Disabled","","","USBFS0: USBDM"
"RES","25","","","","","","",""
"VBAT","4","","","","","","",""
"VCC","11","","","","","","",""
"VCC","39","","","","","","",""
"VCCUSB","20","USBFS0_VCCUSB","","","","","",""
"VCCUSBLDO","21","USBFS0_VCCUSBLDO","","","","","",""
"VCL","5","","","","","","",""
"VSS","8","","","","","","",""
"VSS","40","","","","","","",""
"VSSUSB","17","USBFS0_VSSUSB","","","","","",""
